alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
Spiral-LSHADE,1,1,2,79.48,8002,-1,-1,-1,-1,0.44104838371276855
Spiral-LSHADE,1,2,2,394.48,8001,-1,-1,-1,-1,0.41812896728515625
Spiral-LSHADE,1,3,2,-246.90142082057204,86,1,1,1,1,0.0040187835693359375
Spiral-LSHADE,1,4,2,-151.9809459383761,86,1,1,1,1,0.004044055938720703
Spiral-LSHADE,1,5,2,-25.04030870304412,86,1,1,1,1,0.003910541534423828
Spiral-LSHADE,1,1,2,79.48,8002,-1,-1,-1,-1,0.45389461517333984
Spiral-LSHADE,1,2,2,394.48,8001,-1,-1,-1,-1,0.4219224452972412
Spiral-LSHADE,1,3,2,-246.90142082057204,86,1,1,1,1,0.004076719284057617
Spiral-LSHADE,1,4,2,-151.9809459383761,86,1,1,1,1,0.004429817199707031
Spiral-LSHADE,1,5,2,-25.04030870304412,86,1,1,1,1,0.003934144973754883
Spiral-LSHADE,1,1,2,79.48,8002,-1,-1,-1,-1,0.44250917434692383
Spiral-LSHADE,1,2,2,394.48,8001,-1,-1,-1,-1,0.4256930351257324
Spiral-LSHADE,1,3,2,-246.90142082057204,86,1,1,1,1,0.0061492919921875
Spiral-LSHADE,1,4,2,-151.9809459383761,86,1,1,1,1,0.004210710525512695
Spiral-LSHADE,1,5,2,-25.04030870304412,86,1,1,1,1,0.003748655319213867
Spiral-LSHADE,2,1,2,-159.32524283470258,226,226,226,226,226,0.015370607376098633
Spiral-LSHADE,2,2,2,-88.30308954775751,288,288,288,288,288,0.020413875579833984
Spiral-LSHADE,2,3,2,-73.97240957836006,362,362,362,362,362,0.024456501007080078
Spiral-LSHADE,2,4,2,320.19,8000,-1,-1,-1,-1,0.44418764114379883
Spiral-LSHADE,2,5,2,-83.63037660071626,393,393,393,393,393,0.02645421028137207
Spiral-LSHADE,2,1,2,-159.32524283470258,226,226,226,226,226,0.015894412994384766
Spiral-LSHADE,2,2,2,-88.30308954775751,288,288,288,288,288,0.019922256469726562
Spiral-LSHADE,2,3,2,-73.97240957836006,362,362,362,362,362,0.024916648864746094
Spiral-LSHADE,2,4,2,320.19,8000,-1,-1,-1,-1,0.44625377655029297
Spiral-LSHADE,2,5,2,-83.63037660071626,393,393,393,393,393,0.02894735336303711
Spiral-LSHADE,2,1,2,-159.32524283470258,226,226,226,226,226,0.01596546173095703
Spiral-LSHADE,2,2,2,-88.30308954775751,288,288,288,288,288,0.019857406616210938
Spiral-LSHADE,2,3,2,-73.97240957836006,362,362,362,362,362,0.02478170394897461
Spiral-LSHADE,2,4,2,320.19,8000,-1,-1,-1,-1,0.4461390972137451
Spiral-LSHADE,2,5,2,-83.63037660071626,393,393,393,393,393,0.02369976043701172
Spiral-LSHADE,3,1,2,-452.58604117915314,86,1,1,1,1,0.003975868225097656
Spiral-LSHADE,3,2,2,77.66,8005,-1,-1,-1,-1,0.45896220207214355
Spiral-LSHADE,3,3,2,115.68,8000,-1,-1,-1,-1,0.4646027088165283
Spiral-LSHADE,3,4,2,-0.7341633396089651,192,192,192,192,192,0.011074304580688477
Spiral-LSHADE,3,5,2,132.18,8000,-1,-1,-1,-1,0.4585878849029541
Spiral-LSHADE,3,1,2,-452.58604117915314,86,1,1,1,1,0.0041539669036865234
Spiral-LSHADE,3,2,2,77.66,8005,-1,-1,-1,-1,0.4597046375274658
Spiral-LSHADE,3,3,2,115.68,8000,-1,-1,-1,-1,0.46134018898010254
Spiral-LSHADE,3,4,2,-0.7341633396089651,192,192,192,192,192,0.011020660400390625
Spiral-LSHADE,3,5,2,132.18,8000,-1,-1,-1,-1,0.4582984447479248
Spiral-LSHADE,3,1,2,-452.58604117915314,86,1,1,1,1,0.004204988479614258
Spiral-LSHADE,3,2,2,77.66,8005,-1,-1,-1,-1,0.45876336097717285
Spiral-LSHADE,3,3,2,115.68,8000,-1,-1,-1,-1,0.46742820739746094
Spiral-LSHADE,3,4,2,-0.7341633396089651,192,192,192,192,192,0.01113581657409668
Spiral-LSHADE,3,5,2,132.18,8000,-1,-1,-1,-1,0.4578511714935303
Spiral-LSHADE,4,1,2,-448.3601929176622,86,1,1,1,1,0.0041348934173583984
Spiral-LSHADE,4,2,2,77.66,8000,-1,-1,-1,-1,0.45764851570129395
Spiral-LSHADE,4,3,2,115.68,8000,-1,-1,-1,-1,0.474759578704834
Spiral-LSHADE,4,4,2,-3.3664786996847416,275,275,275,275,275,0.016648530960083008
Spiral-LSHADE,4,5,2,132.18,8000,-1,-1,-1,-1,0.46378350257873535
Spiral-LSHADE,4,1,2,-448.3601929176622,86,1,1,1,1,0.004148006439208984
Spiral-LSHADE,4,2,2,77.66,8000,-1,-1,-1,-1,0.4705488681793213
Spiral-LSHADE,4,3,2,115.68,8000,-1,-1,-1,-1,0.4549286365509033
Spiral-LSHADE,4,4,2,-3.3664786996847416,275,275,275,275,275,0.01677107810974121
Spiral-LSHADE,4,5,2,132.18,8000,-1,-1,-1,-1,0.4679453372955322
Spiral-LSHADE,4,1,2,-448.3601929176622,86,1,1,1,1,0.004192829132080078
Spiral-LSHADE,4,2,2,77.66,8000,-1,-1,-1,-1,0.4648160934448242
Spiral-LSHADE,4,3,2,115.68,8000,-1,-1,-1,-1,0.47591185569763184
