alg,fid,inst,dim,best_f,evals_total,t_hit_0.1,t_hit_0.001,t_hit_1e-05,t_hit_1e-08,duration_sec
Spiral-LSHADE,1,1,2,79.48,8002,-1,-1,-1,-1,0.6116335391998291
Spiral-LSHADE,1,2,2,394.48,8001,-1,-1,-1,-1,0.5282607078552246
Spiral-LSHADE,1,3,2,-246.90142082057204,86,1,1,1,1,0.004208803176879883
Spiral-LSHADE,1,4,2,-151.9809459383761,86,1,1,1,1,0.004654407501220703
Spiral-LSHADE,1,5,2,-25.04030870304412,86,1,1,1,1,0.004640340805053711
Spiral-LSHADE,1,6,2,-201.01029692873996,86,1,1,1,1,0.004475116729736328
Spiral-LSHADE,1,7,2,-999.952780481926,86,1,1,1,1,0.004917144775390625
Spiral-LSHADE,1,8,2,-42.71166903244881,86,1,1,1,1,0.0044498443603515625
Spiral-LSHADE,1,9,2,-101.19136538995578,86,1,1,1,1,0.004644155502319336
Spiral-LSHADE,1,10,2,3.65,8004,-1,-1,-1,-1,0.5651891231536865
Spiral-LSHADE,1,11,2,220.53,8004,-1,-1,-1,-1,0.5342121124267578
Spiral-LSHADE,1,12,2,421.29,8000,-1,-1,-1,-1,0.5477032661437988
Spiral-LSHADE,1,13,2,-78.86834740173556,86,1,1,1,1,0.005541801452636719
Spiral-LSHADE,1,14,2,-41.31897056816307,86,1,1,1,1,0.006742238998413086
Spiral-LSHADE,1,15,2,212.75,8000,-1,-1,-1,-1,0.5597331523895264
Spiral-LSHADE,2,1,2,-159.32524283470258,226,226,226,226,226,0.0183103084564209
Spiral-LSHADE,2,2,2,-88.30308954775751,288,288,288,288,288,0.02304244041442871
Spiral-LSHADE,2,3,2,-73.97240957836006,362,362,362,362,362,0.029477596282958984
Spiral-LSHADE,2,4,2,320.19,8000,-1,-1,-1,-1,0.6003110408782959
Spiral-LSHADE,2,5,2,-83.63037660071626,393,393,393,393,393,0.029921770095825195
Spiral-LSHADE,2,6,2,-20.721098507719667,339,339,339,339,339,0.026819944381713867
Spiral-LSHADE,2,7,2,20.7,8005,-1,-1,-1,-1,0.5746493339538574
Spiral-LSHADE,2,8,2,38.07,8000,-1,-1,-1,-1,0.5527303218841553
Spiral-LSHADE,2,9,2,-12.651514195441216,323,323,323,323,323,0.023268699645996094
Spiral-LSHADE,2,10,2,66.95,8000,-1,-1,-1,-1,0.5093362331390381
Spiral-LSHADE,2,11,2,58.32,8000,-1,-1,-1,-1,0.6217610836029053
Spiral-LSHADE,2,12,2,193.27,8000,-1,-1,-1,-1,0.5993118286132812
Spiral-LSHADE,2,13,2,-349.1329109967926,213,213,213,213,213,0.024192333221435547
Spiral-LSHADE,2,14,2,407.61,8000,-1,-1,-1,-1,0.6052803993225098
