alg,suite,fid,dim,ERT,succ,runs,best_err,mean_err
CMAES,cec2014,1,10,7413.666666666667,30,30,0.0,1.3263464400855204e-14
CMAES,cec2014,2,10,5533.666666666667,30,30,0.0,2.0842586915629604e-14
CMAES,cec2014,3,10,4715.0,30,30,0.0,2.2737367544323207e-14
CMAES,cec2014,4,10,564096.0,2,30,0.0,30.43193583975027
CMAES,cec2014,5,10,nan,0,30,19.9999980987576,20.45690257136672
CMAES,cec2014,6,10,nan,0,30,0.0038721542769053485,1.5054180169954445
CMAES,cec2014,7,10,96515.44444444444,9,30,0.0,0.010585672591912499
CMAES,cec2014,8,10,nan,0,30,4.974790247647434,12.779284007173905
CMAES,cec2014,9,10,nan,0,30,3.9798362283731876,13.864722531435223
CMAES,cec2014,10,10,nan,0,30,67.36954877188236,613.4012134133342
CMAES,cec2014,11,10,nan,0,30,125.26825598982214,717.8000205974662
CMAES,cec2014,12,10,nan,0,30,0.05789529042431241,0.7428387827370443
CMAES,cec2014,13,10,nan,0,30,0.03727406287157464,0.11575533787221653
CMAES,cec2014,14,10,nan,0,30,0.22540357572006542,0.45048843376828246
CMAES,cec2014,15,10,nan,0,30,0.42800522327729595,1.1388783726515006
CMAES,cec2014,16,10,nan,0,30,2.658185055275453,3.6192839421562666
CMAES,cec2014,17,10,1167061.0,1,30,0.0,160.95234778335276
CMAES,cec2014,18,10,nan,0,30,1.2337949311740886,6.808622882211572
CMAES,cec2014,19,10,nan,0,30,1.8164906696586058,8.435374036076398
CMAES,cec2014,20,10,nan,0,30,0.1952622554535992,5.36101879169236
CMAES,cec2014,21,10,nan,0,30,0.1795213576997412,0.8975857189678209
CMAES,cec2014,22,10,nan,0,30,20.704454517318027,194.0640879189435
CMAES,cec2014,23,10,nan,0,30,236.83046069909415,241.68858784480628
CMAES,cec2014,24,10,nan,0,30,112.08426409194726,123.16218549061118
CMAES,cec2014,25,10,nan,0,30,146.59161895970738,193.98284425854987
CMAES,cec2014,26,10,nan,0,30,100.03330810948319,100.11730726239765
CMAES,cec2014,27,10,nan,0,30,300.00000000004957,338.48807986212074
CMAES,cec2014,28,10,nan,0,30,369.3717135787492,437.7564128435258
CMAES,cec2014,29,10,nan,0,30,4499877.191111638,6531518.912867144
CMAES,cec2014,30,10,nan,0,30,1721.861449087688,715344.5580009917
GWO,cec2014,1,10,nan,0,30,46419.54274793071,1479882.7222484993
GWO,cec2014,2,10,nan,0,30,811.9199836340018,23184.67507469179
GWO,cec2014,3,10,nan,0,30,194.3809435401323,1199.0975233049487
GWO,cec2014,4,10,nan,0,30,0.5056663500080845,28.841420123635604
GWO,cec2014,5,10,nan,0,30,4.4509207866116185,19.905603719218153
GWO,cec2014,6,10,nan,0,30,0.447496737105439,1.5708123675336803
GWO,cec2014,7,10,nan,0,30,0.1392406433327551,0.9025377735163981
