alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
NLSHADE-RSP,cec2014,1,10,0,819.9649143316313,719.9649143316313,40002,0,0.9104328155517578
LSHADE,cec2014,1,10,0,100.00000000000085,8.526512829121202e-13,40050,1,0.9674615859985352
JADE,cec2014,1,10,0,100.00000000070106,7.010640956650604e-10,40050,1,0.94620680809021
jSO,cec2014,1,10,0,100.00000000050078,5.007763093090034e-10,40094,1,0.9868488311767578
Spiral-LSHADE,cec2014,1,10,0,100.00000000001903,1.9028334463655483e-11,40000,1,2.4673380851745605
CMAES,cec2014,1,10,0,100.00000000000001,1.4210854715202004e-14,5571,1,0.5619981288909912
SciPyDE,cec2014,1,10,0,7511.829706944874,7411.829706944874,40050,0,1.5503919124603271
LBFGSB,cec2014,1,10,0,1531.2950341641865,1431.2950341641865,2266,0,0.06553769111633301
PSO,cec2014,1,10,0,55001.81400218467,54901.81400218467,40050,0,2.672755241394043
GWO,cec2014,1,10,0,689202.2971431907,689102.2971431907,40050,0,2.860015630722046
GA,cec2014,1,10,0,4965866.309154742,4965766.309154742,40050,0,4.226200103759766
SSA,cec2014,1,10,0,44088332.780165255,44088232.780165255,76050,0,8.196451187133789
NLSHADE-RSP,cec2014,1,10,1,362.6891616483783,262.6891616483783,40002,0,1.0669503211975098
LSHADE,cec2014,1,10,1,100.00000000001191,1.1908696251339279e-11,40050,1,1.0826849937438965
JADE,cec2014,1,10,1,100.00000001546753,1.5467534808522032e-08,40050,0,1.0488975048065186
jSO,cec2014,1,10,1,100.00000000000732,7.318590178329032e-12,39207,1,1.077317714691162
Spiral-LSHADE,cec2014,1,10,1,100.00000000003716,3.716138508025324e-11,40000,1,3.0063531398773193
CMAES,cec2014,1,10,1,100.00000000000001,1.4210854715202004e-14,11271,1,1.4158008098602295
SciPyDE,cec2014,1,10,1,3594.0824821136466,3494.0824821136466,40050,0,1.6511435508728027
LBFGSB,cec2014,1,10,1,2537.4940009754073,2437.4940009754073,2420,0,0.06949925422668457
PSO,cec2014,1,10,1,38059.81193319837,37959.81193319837,40050,0,2.571023941040039
GWO,cec2014,1,10,1,230024.21241040668,229924.21241040668,40050,0,3.113739490509033
GA,cec2014,1,10,1,2257038.785343465,2256938.785343465,40050,0,4.949974060058594
SSA,cec2014,1,10,1,35094656.75615104,35094556.75615104,76050,0,6.589070558547974
NLSHADE-RSP,cec2014,1,10,2,239.4778978138798,139.4778978138798,40002,0,1.0282342433929443
LSHADE,cec2014,1,10,2,100.0,0.0,38600,1,1.0602753162384033
JADE,cec2014,1,10,2,100.00000000002039,2.0392576516314875e-11,40050,1,1.0548946857452393
jSO,cec2014,1,10,2,100.00000000000315,3.154809746774845e-12,38304,1,1.0476508140563965
Spiral-LSHADE,cec2014,1,10,2,100.00000000000675,6.750155989720952e-12,40000,1,2.7841780185699463
CMAES,cec2014,1,10,2,100.00000000000001,1.4210854715202004e-14,7011,1,0.7803435325622559
SciPyDE,cec2014,1,10,2,1622.3459662268745,1522.3459662268745,40050,0,1.6288776397705078
LBFGSB,cec2014,1,10,2,100.00016128485632,0.00016128485631838885,5126,0,0.17572617530822754
PSO,cec2014,1,10,2,27949.046306270015,27849.046306270015,40050,0,2.7323691844940186
GWO,cec2014,1,10,2,2289994.833897225,2289894.833897225,40050,0,3.1981067657470703
GA,cec2014,1,10,2,270690.2696529034,270590.2696529034,40050,0,5.209648609161377
SSA,cec2014,1,10,2,10489170.33287201,10489070.33287201,76050,0,6.699418783187866
NLSHADE-RSP,cec2014,1,10,3,281.891472126768,181.891472126768,40002,0,1.005373239517212
LSHADE,cec2014,1,10,3,100.00000000000021,2.1316282072803006e-13,40050,1,1.073688268661499
JADE,cec2014,1,10,3,100.00016202735182,0.00016202735181991557,40050,0,1.0389232635498047
jSO,cec2014,1,10,3,100.00000000000472,4.718003765447065e-12,39547,1,1.083876609802246
Spiral-LSHADE,cec2014,1,10,3,100.00000000000115,1.1510792319313623e-12,40000,1,2.583834409713745
CMAES,cec2014,1,10,3,100.00000000000001,1.4210854715202004e-14,5641,1,0.5478940010070801
SciPyDE,cec2014,1,10,3,4307.446496775992,4207.446496775992,40050,0,1.5747299194335938
LBFGSB,cec2014,1,10,3,1497140200.359307,1497140100.359307,22,0,0.0010781288146972656
PSO,cec2014,1,10,3,10230.403338577411,10130.403338577411,40050,0,2.707080602645874
GWO,cec2014,1,10,3,3573688.0375547507,3573588.0375547507,40050,0,3.426405191421509
GA,cec2014,1,10,3,152246.63293000904,152146.63293000904,40050,0,4.760080337524414
SSA,cec2014,1,10,3,57455427.86265117,57455327.86265117,76050,0,6.724139928817749
NLSHADE-RSP,cec2014,1,10,4,1112.4780306004193,1012.4780306004193,40002,0,1.0454766750335693
LSHADE,cec2014,1,10,4,100.0,0.0,40050,1,1.0910117626190186
JADE,cec2014,1,10,4,100.00000000273181,2.731809445322142e-09,40050,1,1.0525763034820557
jSO,cec2014,1,10,4,100.00000000001397,1.396927018504357e-11,39798,1,1.0857594013214111
Spiral-LSHADE,cec2014,1,10,4,100.00000000000033,3.268496584496461e-13,40000,1,2.6303610801696777
CMAES,cec2014,1,10,4,100.00000000000001,1.4210854715202004e-14,5841,1,0.6181318759918213
SciPyDE,cec2014,1,10,4,6617.728846845678,6517.728846845678,40050,0,1.583442211151123
LBFGSB,cec2014,1,10,4,204414.8579864208,204314.8579864208,1672,0,0.052221059799194336
PSO,cec2014,1,10,4,2451.4547031951474,2351.4547031951474,40050,0,2.573777914047241
GWO,cec2014,1,10,4,2513580.724085811,2513480.724085811,40050,0,2.933694362640381
GA,cec2014,1,10,4,70113.27854319573,70013.27854319573,40050,0,4.521139144897461
SSA,cec2014,1,10,4,74828.88336310552,74728.88336310552,76050,0,6.564326286315918
NLSHADE-RSP,cec2014,1,10,5,190.4220389532483,90.42203895324829,40002,0,1.0248842239379883
LSHADE,cec2014,1,10,5,100.00000000000001,1.4210854715202004e-14,40050,1,1.075866937637329
JADE,cec2014,1,10,5,100.0000000038325,3.832496986433398e-09,40050,1,1.0528130531311035
jSO,cec2014,1,10,5,100.00000000076064,7.606359986311872e-10,40182,1,1.0924930572509766
Spiral-LSHADE,cec2014,1,10,5,100.00000000000003,2.842170943040401e-14,40000,1,2.6241424083709717
CMAES,cec2014,1,10,5,100.00000000000001,1.4210854715202004e-14,9441,1,1.0395359992980957
SciPyDE,cec2014,1,10,5,3322.7616114571356,3222.7616114571356,40050,0,1.573725938796997
LBFGSB,cec2014,1,10,5,100.00014112887054,0.0001411288705384095,6281,0,0.19201421737670898
PSO,cec2014,1,10,5,82344.16708271306,82244.16708271306,40050,0,2.6182119846343994
GWO,cec2014,1,10,5,447965.58327924187,447865.58327924187,40050,0,3.025789976119995
GA,cec2014,1,10,5,1968952.7407573932,1968852.7407573932,40050,0,4.52428674697876
SSA,cec2014,1,10,5,13432249.62158533,13432149.62158533,76050,0,6.8514063358306885
NLSHADE-RSP,cec2014,1,10,6,283.5788339464713,183.57883394647132,40002,0,1.0426390171051025
LSHADE,cec2014,1,10,6,100.00000000000001,1.4210854715202004e-14,40050,1,1.0994822978973389
JADE,cec2014,1,10,6,5117.970337969861,5017.970337969861,40050,0,1.0680646896362305
jSO,cec2014,1,10,6,100.0000000000005,4.973799150320701e-13,38678,1,1.0801913738250732
Spiral-LSHADE,cec2014,1,10,6,100.00000000001165,1.1652900866465643e-11,40000,1,2.7001476287841797
CMAES,cec2014,1,10,6,100.00000000000001,1.4210854715202004e-14,5531,1,0.5301764011383057
SciPyDE,cec2014,1,10,6,6382.420955553037,6282.420955553037,40050,0,1.618011713027954
LBFGSB,cec2014,1,10,6,100.00000561005348,5.610053477766996e-06,4081,0,0.1326596736907959
PSO,cec2014,1,10,6,17376.5025781488,17276.5025781488,40050,0,2.5929343700408936
GWO,cec2014,1,10,6,682588.8208088587,682488.8208088587,40050,0,3.0098485946655273
GA,cec2014,1,10,6,244694.4936028514,244594.4936028514,40050,0,4.373382806777954
SSA,cec2014,1,10,6,27774437.593432877,27774337.593432877,76050,0,6.686928033828735
NLSHADE-RSP,cec2014,1,10,7,614.2981600496045,514.2981600496045,40002,0,1.0332965850830078
LSHADE,cec2014,1,10,7,100.0,0.0,40050,1,1.0753462314605713
JADE,cec2014,1,10,7,100.00000000054237,5.423714810603997e-10,40050,1,1.0475397109985352
