fid,CMAES,GWO,JADE,LBFGSB,LSHADE,MealpyGA,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,17527.0,,1200100.0,,,,,,,,,
2,10749.4,,75510.0,29782.0,62613.333333333336,,80002.0,82858.62068965517,,,,71030.23333333334
3,12329.4,,,,92407.69230769233,,,,,,80000.0,77106.46666666666
4,16456.6,,,,,,,,,,,
5,,,,,,,,,,,,
6,,,1200100.0,,181307.6923076923,,,,,,,96679.625
7,40058.71428571428,,75362.06896551725,,50300.0,,80002.0,600100.0,,,80000.0,66059.0
8,,,,,184715.38461538465,,82760.62068965517,,,,,
9,,,,,,,,,,,,
10,,,,,,,,,,,,
11,,,,,,,,,,,,
12,,,,,,,,,,,,
13,,,,,,,,,,,,
14,,,,,,,,,,,,
15,,,,,,,,,,,,
16,,,,,,,,,,,,
17,,,,,,,,,,,,
18,,,,,,,,,,,,
19,,,,,,,,,,,,
20,,,,,,,,,,,,
21,,,,,,,,,,,,
22,,,,,,,,,,,,
23,,,,,,,,,,,,
24,,,,,,,,,,,,
25,,,,,,,,,,,,
26,,,,,,,,,,,,
27,,,,,,,,,,,,
28,,,,,,,,,,,,
29,,,,,,,,,,,,
30,,,,,,,,,,,,
