alg1,alg2,diff,significant
jSO,JADE,0.5166666666666666,False
jSO,LSHADE,0.7666666666666666,False
jSO,NLSHADE-RSP,0.9166666666666665,False
jSO,Spiral-LSHADE,1.1166666666666667,False
jSO,CMAES,2.8833333333333333,False
jSO,MealpyGA,4.449999999999999,True
jSO,PSO,4.949999999999999,True
jSO,SSA,5.183333333333334,True
jSO,GWO,5.416666666666666,True
jSO,SciPyDE,7.25,True
jSO,LBFGSB,7.549999999999999,True
JADE,LSHADE,0.25,False
JADE,NLSHADE-RSP,0.3999999999999999,False
JADE,Spiral-LSHADE,0.6000000000000001,False
JADE,CMAES,2.3666666666666667,False
JADE,MealpyGA,3.933333333333333,True
JADE,PSO,4.433333333333334,True
JADE,SSA,4.666666666666668,True
JADE,GWO,4.9,True
JADE,SciPyDE,6.733333333333334,True
JADE,LBFGSB,7.033333333333333,True
LSHADE,NLSHADE-RSP,0.1499999999999999,False
LSHADE,Spiral-LSHADE,0.3500000000000001,False
LSHADE,CMAES,2.1166666666666667,False
LSHADE,MealpyGA,3.683333333333333,True
LSHADE,PSO,4.183333333333334,True
LSHADE,SSA,4.416666666666668,True
LSHADE,GWO,4.65,True
LSHADE,SciPyDE,6.483333333333334,True
LSHADE,LBFGSB,6.783333333333333,True
NLSHADE-RSP,Spiral-LSHADE,0.20000000000000018,False
NLSHADE-RSP,CMAES,1.9666666666666668,False
NLSHADE-RSP,MealpyGA,3.533333333333333,True
NLSHADE-RSP,PSO,4.033333333333333,True
NLSHADE-RSP,SSA,4.2666666666666675,True
NLSHADE-RSP,GWO,4.5,True
NLSHADE-RSP,SciPyDE,6.333333333333334,True
NLSHADE-RSP,LBFGSB,6.633333333333333,True
Spiral-LSHADE,CMAES,1.7666666666666666,False
Spiral-LSHADE,MealpyGA,3.333333333333333,True
Spiral-LSHADE,PSO,3.833333333333333,True
Spiral-LSHADE,SSA,4.066666666666667,True
Spiral-LSHADE,GWO,4.3,True
Spiral-LSHADE,SciPyDE,6.133333333333334,True
Spiral-LSHADE,LBFGSB,6.433333333333333,True
CMAES,MealpyGA,1.5666666666666664,False
CMAES,PSO,2.0666666666666664,False
CMAES,SSA,2.3000000000000007,False
CMAES,GWO,2.533333333333333,False
CMAES,SciPyDE,4.366666666666667,True
CMAES,LBFGSB,4.666666666666666,True
MealpyGA,PSO,0.5,False
MealpyGA,SSA,0.7333333333333343,False
MealpyGA,GWO,0.9666666666666668,False
MealpyGA,SciPyDE,2.8000000000000007,False
MealpyGA,LBFGSB,3.0999999999999996,True
PSO,SSA,0.23333333333333428,False
PSO,GWO,0.4666666666666668,False
PSO,SciPyDE,2.3000000000000007,False
PSO,LBFGSB,2.5999999999999996,False
SSA,GWO,0.2333333333333325,False
SSA,SciPyDE,2.0666666666666664,False
SSA,LBFGSB,2.3666666666666654,False
GWO,SciPyDE,1.833333333333334,False
GWO,LBFGSB,2.133333333333333,False
SciPyDE,LBFGSB,0.29999999999999893,False
