fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,1.326e-14 ± 2.445e-14,4.093e+01 ± 6.220e+01,1.935e+01 ± 2.306e+01,0.000e+00 ± 0.000e+00,7.012e+02 ± 2.692e+03,0.000e+00 ± 0.000e+00,3.790e-15 ± 1.442e-14,5.116e-14 ± 3.113e-14,3.063e+02 ± 1.289e+03,1.687e+00 ± 4.259e-01,5.684e-15 ± 1.734e-14,0.000e+00 ± 0.000e+00
2,5.263e+00 ± 3.119e+00,2.074e+01 ± 2.740e+01,1.463e+01 ± 1.772e+01,4.997e+00 ± 3.384e+00,1.151e+03 ± 2.213e+03,6.392e+00 ± 2.467e+00,3.752e-05 ± 1.067e-04,4.717e+00 ± 4.097e+00,1.078e+02 ± 1.355e+02,5.892e+00 ± 3.962e+00,3.081e+00 ± 3.235e+00,6.381e+00 ± 3.155e+00
3,3.411e-14 ± 5.299e-14,1.414e-05 ± 8.913e-06,2.261e-04 ± 4.126e-04,0.000e+00 ± 0.000e+00,1.528e-01 ± 2.215e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00,1.023e-13 ± 4.577e-14,2.240e-11 ± 3.033e-11,4.653e-01 ± 1.245e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00
4,3.391e+01 ± 1.196e+01,4.560e+01 ± 1.987e+01,3.064e+01 ± 1.014e+01,1.587e+01 ± 4.981e+00,3.882e+02 ± 7.940e+01,1.239e+01 ± 4.246e+00,3.027e+01 ± 7.768e+00,5.313e+01 ± 2.080e+01,8.496e+01 ± 2.677e+01,3.928e+01 ± 1.034e+01,1.327e+01 ± 3.040e+00,1.042e+01 ± 2.537e+00
5,9.959e-02 ± 1.911e-01,5.393e-01 ± 4.408e-01,2.792e-02 ± 1.001e-01,3.790e-15 ± 2.076e-14,7.235e+00 ± 3.753e+00,0.000e+00 ± 0.000e+00,4.169e-14 ± 8.696e-14,1.232e+00 ± 1.044e+00,1.556e+00 ± 1.021e+00,3.296e+00 ± 8.600e-01,0.000e+00 ± 0.000e+00,0.000e+00 ± 0.000e+00
6,3.645e+01 ± 1.739e+02,3.376e+04 ± 2.816e+04,3.784e+04 ± 1.757e+04,7.217e+02 ± 2.664e+03,7.887e+09 ± 8.570e+09,5.095e-01 ± 4.096e-01,3.497e+00 ± 4.285e+00,7.153e+03 ± 6.685e+03,1.561e+04 ± 1.260e+04,3.341e+01 ± 1.671e+01,4.348e-01 ± 8.182e-02,4.248e-01 ± 9.230e-02
7,3.716e+01 ± 3.592e+01,2.437e+01 ± 6.727e+00,3.903e+01 ± 2.602e+01,1.177e+01 ± 9.884e+00,3.870e+03 ± 5.948e+03,5.477e+00 ± 5.157e+00,3.043e+00 ± 3.914e+00,2.622e+01 ± 6.298e+00,2.885e+02 ± 2.858e+02,4.118e+01 ± 4.555e+00,2.383e+01 ± 4.546e+00,2.032e+01 ± 8.905e+00
8,3.521e+01 ± 7.450e+01,4.263e+02 ± 4.862e+02,2.710e+01 ± 6.894e+00,1.475e+01 ± 9.261e+00,1.422e+17 ± 1.353e+17,7.717e+00 ± 7.922e+00,4.023e+00 ± 4.033e+00,2.151e+01 ± 6.318e+00,1.203e+03 ± 9.167e+02,3.425e+01 ± 2.931e+00,1.186e+01 ± 6.865e+00,3.973e+00 ± 1.304e+00
9,3.112e+02 ± 1.242e+02,3.158e+02 ± 1.430e+02,2.446e+02 ± 1.749e+02,1.317e+02 ± 1.760e+02,4.685e+02 ± 1.861e+02,9.576e+01 ± 1.615e+02,4.028e-11 ± 1.543e-10,1.232e+02 ± 1.773e+02,5.323e+02 ± 2.875e+02,1.998e+01 ± 4.677e+00,3.552e-10 ± 9.062e-11,5.154e-13 ± 2.598e-13
10,3.004e+02 ± 7.453e+01,2.910e+02 ± 8.074e+01,2.565e+02 ± 4.949e+01,2.431e+02 ± 3.926e+01,1.858e+03 ± 4.480e+02,2.276e+02 ± 2.379e+01,2.209e+02 ± 4.227e-01,2.970e+02 ± 6.905e+01,3.513e+02 ± 1.155e+02,2.361e+02 ± 3.926e+00,2.214e+02 ± 6.097e-01,2.209e+02 ± 4.778e-02
11,2.797e+02 ± 4.075e+02,3.259e+00 ± 7.528e+00,8.869e+01 ± 2.670e+02,3.638e-13 ± 1.850e-13,2.974e+03 ± 6.659e+03,2.728e-13 ± 2.266e-13,5.760e-13 ± 2.653e-13,4.954e+00 ± 9.149e+00,5.215e+01 ± 2.422e+02,2.290e+01 ± 4.462e+00,2.127e-10 ± 5.358e-11,4.851e-13 ± 1.154e-13
12,1.667e+02 ± 1.740e+00,1.709e+02 ± 5.340e+00,1.654e+02 ± 1.245e+00,1.653e+02 ± 9.131e-01,4.499e+02 ± 4.432e+02,1.656e+02 ± 8.251e-01,1.301e+02 ± 6.505e+01,1.763e+02 ± 1.848e+01,2.749e+02 ± 8.411e+01,1.827e+02 ± 3.330e+00,1.652e+02 ± 8.747e-01,1.647e+02 ± 4.672e-01
