fid,CMAES,GA,GWO,JADE,LBFGSB,LSHADE,NLSHADE-RSP,PSO,SSA,SciPyDE,Spiral-LSHADE,jSO
1,3372.333333333333,,,12790.0,17517.904761904763,19206.666666666668,40002.0,40050.0,276050.0,,40000.2,30846.3
2,264376.0,,,182395.0,,,300002.0,,,,92307.69230769233,395848.3333333333
3,2177.333333333333,,,9672.0,,15358.333333333334,40002.0,40050.0,76050.0,,40000.0,25788.9
4,,,,,,,,,,,,
5,22582.0,,,13924.0,,17166.666666666668,40002.0,600050.0,,,40000.0,28781.033333333333
6,,,,,,,,,,,,
7,,,,,,,,,,,,
8,,,,,,,,,,,,
9,264171.0,,,46900.52631578947,,46313.63636363636,40002.0,66716.66666666667,,,40000.0,36012.73333333333
10,,,,,,,,,,,,
11,30879.33333333333,,,22151.0,,31576.666666666668,40002.0,54595.454545454544,207478.57142857145,,40000.0,35575.6
12,,,,,,,,,,,,
