alg1,alg2,W,p,p_holm,reject_0.05
SciPyDE,Spiral-LSHADE,0.0,0.00048828125,0.01806640625,True
SSA,jSO,0.0,0.00048828125,0.0185546875,True
SSA,Spiral-LSHADE,0.0,0.00048828125,0.01904296875,True
PSO,Spiral-LSHADE,0.0,0.00048828125,0.01953125,True
PSO,SSA,0.0,0.00048828125,0.02001953125,True
NLSHADE-RSP,SciPyDE,0.0,0.00048828125,0.0205078125,True
NLSHADE-RSP,SSA,0.0,0.00048828125,0.02099609375,True
NLSHADE-RSP,PSO,0.0,0.00048828125,0.021484375,True
LSHADE,SSA,0.0,0.00048828125,0.02197265625,True
LBFGSB,jSO,0.0,0.00048828125,0.0224609375,True
LBFGSB,Spiral-LSHADE,0.0,0.00048828125,0.02294921875,True
LBFGSB,PSO,0.0,0.00048828125,0.0234375,True
LBFGSB,NLSHADE-RSP,0.0,0.00048828125,0.02392578125,True
LBFGSB,LSHADE,0.0,0.00048828125,0.0244140625,True
JADE,SSA,0.0,0.00048828125,0.02490234375,True
JADE,LBFGSB,0.0,0.00048828125,0.025390625,True
GWO,jSO,0.0,0.00048828125,0.02587890625,True
GWO,Spiral-LSHADE,0.0,0.00048828125,0.0263671875,True
GWO,NLSHADE-RSP,0.0,0.00048828125,0.02685546875,True
GWO,LBFGSB,0.0,0.00048828125,0.02734375,True
GWO,JADE,0.0,0.00048828125,0.02783203125,True
GA,jSO,0.0,0.00048828125,0.0283203125,True
GA,Spiral-LSHADE,0.0,0.00048828125,0.02880859375,True
GA,NLSHADE-RSP,0.0,0.00048828125,0.029296875,True
GA,LSHADE,0.0,0.00048828125,0.02978515625,True
GA,LBFGSB,0.0,0.00048828125,0.0302734375,True
GA,JADE,0.0,0.00048828125,0.03076171875,True
CMAES,Spiral-LSHADE,0.0,0.00048828125,0.03125,True
CMAES,NLSHADE-RSP,0.0,0.00048828125,0.03173828125,True
CMAES,LBFGSB,0.0,0.00048828125,0.0322265625,True
SciPyDE,jSO,1.0,0.0009765625,0.0341796875,True
CMAES,jSO,1.0,0.0009765625,0.03515625,True
LBFGSB,SciPyDE,1.5,0.00146484375,0.046875,True
GWO,LSHADE,1.5,0.00146484375,0.04833984375,True
CMAES,JADE,1.5,0.00146484375,0.0498046875,True
PSO,jSO,3.0,0.00244140625,0.07080078125,False
CMAES,SSA,3.0,0.00244140625,0.0732421875,False
CMAES,LSHADE,3.0,0.00244140625,0.07568359375,False
LBFGSB,SSA,4.5,0.00439453125,0.123046875,False
LSHADE,SciPyDE,5.0,0.00537109375,0.14501953125,False
JADE,PSO,5.0,0.005859375,0.15234375,False
GA,SSA,6.0,0.0078125,0.1953125,False
LSHADE,PSO,7.0,0.00830078125,0.19921875,False
JADE,SciPyDE,8.0,0.01220703125,0.28076171875,False
GWO,SSA,9.0,0.017578125,0.38671875,False
SSA,SciPyDE,11.0,0.02978515625,0.62548828125,False
JADE,NLSHADE-RSP,11.0,0.044921875,0.8984375,False
JADE,Spiral-LSHADE,21.0,0.310546875,1.0,False
PSO,SciPyDE,31.0,0.56591796875,1.0,False
GWO,PSO,32.0,0.583984375,1.0,False
JADE,jSO,8.5,0.052734375,1.0,False
GWO,SciPyDE,36.0,0.83642578125,1.0,False
JADE,LSHADE,15.0,0.2109375,1.0,False
CMAES,PSO,34.5,0.75732421875,1.0,False
CMAES,GWO,33.5,0.6865234375,1.0,False
GA,PSO,21.0,0.15966796875,1.0,False
LSHADE,NLSHADE-RSP,29.0,0.75390625,1.0,False
GA,SciPyDE,30.5,0.5322265625,1.0,False
LSHADE,Spiral-LSHADE,27.0,1.0,1.0,False
LSHADE,jSO,9.0,0.12109375,1.0,False
NLSHADE-RSP,Spiral-LSHADE,25.0,0.5107421875,1.0,False
NLSHADE-RSP,jSO,22.0,0.36328125,1.0,False
CMAES,SciPyDE,33.5,0.68994140625,1.0,False
GA,GWO,27.5,0.36328125,1.0,False
Spiral-LSHADE,jSO,10.0,0.076171875,1.0,False
CMAES,GA,23.5,0.24169921875,1.0,False
