alg,suite,fid,dim,ERT,succ,runs,best_err,mean_err
CMAES,eng,10,2,nan,0,30,nan,nan
CMAES,eng,2,3,nan,0,30,2.612730481721882,2.6127338022549322
CMAES,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
CMAES,eng,1,4,nan,0,30,244.58293053092711,252.3087969956584
CMAES,eng,3,4,nan,0,30,12486703.993768383,12486703.993768394
CMAES,eng,7,4,nan,0,30,nan,nan
CMAES,eng,4,5,nan,0,30,nan,nan
CMAES,eng,11,5,nan,0,30,nan,nan
CMAES,eng,5,7,nan,0,30,278.37308945997256,278.3730894599725
CMAES,eng,9,10,nan,0,30,nan,nan
CMAES,eng,12,10,nan,0,30,nan,nan
CMAES,eng,6,11,nan,0,30,nan,nan
GWO,eng,10,2,nan,0,30,nan,nan
GWO,eng,2,3,nan,0,30,2.6126956714169762,2.612712700582928
GWO,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
GWO,eng,1,4,nan,0,30,3.3690829256984216,265.1918232938889
GWO,eng,3,4,nan,0,30,12488980.829341495,12566671.965299116
GWO,eng,7,4,nan,0,30,nan,nan
GWO,eng,4,5,nan,0,30,nan,nan
GWO,eng,11,5,nan,0,30,nan,nan
GWO,eng,5,7,nan,0,30,270.205152799027,276.67271572832243
GWO,eng,9,10,nan,0,30,nan,nan
GWO,eng,12,10,nan,0,30,nan,nan
GWO,eng,6,11,nan,0,30,nan,nan
JADE,eng,10,2,nan,0,30,nan,nan
JADE,eng,2,3,nan,0,30,2.6127343968815264,2.61273471313559
JADE,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
JADE,eng,1,4,nan,0,30,257.0281487484863,257.02814875097994
JADE,eng,3,4,nan,0,30,12486703.993768381,12486703.99376839
JADE,eng,7,4,nan,0,30,nan,nan
JADE,eng,4,5,nan,0,30,nan,nan
JADE,eng,11,5,nan,0,30,nan,nan
JADE,eng,5,7,nan,0,30,278.37308945997256,278.37308945997296
JADE,eng,9,10,nan,0,30,nan,nan
JADE,eng,12,10,nan,0,30,nan,nan
JADE,eng,6,11,nan,0,30,nan,nan
LBFGSB,eng,10,2,nan,0,30,nan,nan
LBFGSB,eng,2,3,nan,0,30,2.348414411243788,2484708.8221038654
LBFGSB,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
LBFGSB,eng,1,4,nan,0,30,899.6674985385052,888093.6939914022
LBFGSB,eng,3,4,nan,0,30,57330365.71858217,1053604633.4963386
LBFGSB,eng,7,4,nan,0,30,nan,nan
LBFGSB,eng,4,5,nan,0,30,nan,nan
LBFGSB,eng,11,5,nan,0,30,nan,nan
LBFGSB,eng,5,7,nan,0,30,220.55305127141264,250313.25767004967
LBFGSB,eng,9,10,nan,0,30,nan,nan
LBFGSB,eng,12,10,nan,0,30,nan,nan
LBFGSB,eng,6,11,nan,0,30,nan,nan
LSHADE,eng,10,2,nan,0,30,nan,nan
LSHADE,eng,2,3,nan,0,30,2.6127346768711734,2.6127347540850865
LSHADE,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
LSHADE,eng,1,4,nan,0,30,257.0281487495731,257.0281487510167
LSHADE,eng,3,4,nan,0,30,12486703.99376838,12486703.993768387
LSHADE,eng,7,4,nan,0,30,nan,nan
LSHADE,eng,4,5,nan,0,30,nan,nan
LSHADE,eng,11,5,nan,0,30,nan,nan
LSHADE,eng,5,7,nan,0,30,278.37308945997256,278.37308945997296
LSHADE,eng,9,10,nan,0,30,nan,nan
LSHADE,eng,12,10,nan,0,30,nan,nan
LSHADE,eng,6,11,nan,0,30,nan,nan
MealpyGA,eng,10,2,nan,0,30,nan,nan
MealpyGA,eng,2,3,nan,0,30,2.312001758317783,726.0616988953857
MealpyGA,eng,8,3,nan,0,30,1.0169999545467752,1.0869354509239784
MealpyGA,eng,1,4,nan,0,30,1059.993400868313,4215.50643098613
MealpyGA,eng,3,4,nan,0,30,14895432.926069673,69391760.4034911
MealpyGA,eng,7,4,nan,0,30,nan,nan
MealpyGA,eng,4,5,nan,0,30,nan,nan
MealpyGA,eng,11,5,nan,0,30,nan,nan
MealpyGA,eng,5,7,nan,0,30,78.6761675474695,53390.65298003635
MealpyGA,eng,9,10,nan,0,30,nan,nan
MealpyGA,eng,12,10,nan,0,30,nan,nan
MealpyGA,eng,6,11,nan,0,30,nan,nan
NLSHADE-RSP,eng,10,2,nan,0,30,nan,nan
NLSHADE-RSP,eng,2,3,nan,0,30,2.612733979007151,2.6127341607458137
NLSHADE-RSP,eng,8,3,nan,0,30,1.000000200000006,1.000000200000006
NLSHADE-RSP,eng,1,4,nan,0,30,11.477555448432213,144.91768290581834
