alg,fid,problem,dim,fbest_mean,fbest_std,err_mean,err_std,nfe_mean,succ_rate
CMAES,1,pressure_vessel,4,5807.405203004341,3.381921104379864,252.3087969956584,3.381921104379879,10365.266666666666,0.0
CMAES,2,tension_spring,3,0.012666197745067892,1.349413012817886e-06,2.612733802254932,1.3494130127195815e-06,8582.533333333333,0.0
CMAES,3,welded_beam,4,12486705.718620392,4.347701011230835e-09,12486703.993768392,4.347701011230835e-09,4534.333333333333,0.0
CMAES,4,gear_box,5,6415.27991745469,0.0,,,1204.2,0.0
CMAES,5,speed_reducer,7,2715.6269105400274,4.3878630156269324e-13,278.3730894599726,1.4395861639638198e-13,3376.0,0.0
CMAES,6,car_side_impact,11,8902973.94167328,1.2521784018579184e-07,,,6596.6,0.0
CMAES,7,hydrostatic_thrust_bearing,4,inf,,,,0.0,0.0
CMAES,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,478.1666666666667,0.0
CMAES,9,ten_bar_truss,10,0.2497056273248311,3.0718616784795864e-14,,,16834.0,0.0
CMAES,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,247.2,0.0
CMAES,11,cantilever_disc,5,41518962963206.63,18306633973813.836,,,291.93333333333334,0.0
CMAES,12,stepped_column,10,146292361.53839567,0.0,,,1478.3333333333333,0.0
GWO,1,pressure_vessel,4,5995.3377480741265,334.9036187339022,265.1918232938889,209.03559682779445,16020.0,0.0
GWO,2,tension_spring,3,0.012687299417072442,7.949133719302852e-06,2.6127127005829274,7.949133719406571e-06,12020.0,0.0
GWO,3,welded_beam,4,12566673.690151116,81269.88887374166,12566671.965299116,81269.88887374166,16020.0,0.0
GWO,4,gear_box,5,6415.27991745469,0.0,,,20025.0,0.0
GWO,5,speed_reducer,7,2717.3272842716774,1.4263193473779887,276.67271572832243,1.4263193473779423,28035.0,0.0
GWO,6,car_side_impact,11,8902973.941941533,0.0002456693025788339,,,44055.0,0.0
GWO,7,hydrostatic_thrust_bearing,4,0.00026323326128117967,6.154759413328554e-05,,,1.0,0.0
GWO,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,12020.0,0.0
GWO,9,ten_bar_truss,10,0.2505576393009684,0.00035654228883081165,,,40050.0,0.0
GWO,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,8020.0,0.0
GWO,11,cantilever_disc,5,23307111111411.113,0.0,,,20025.0,0.0
GWO,12,stepped_column,10,146292361.53839567,0.0,,,40050.0,0.0
JADE,1,pressure_vessel,4,5802.68585124902,4.708224648777872e-10,257.02814875097994,4.709751195080295e-10,16016.0,0.0
JADE,2,tension_spring,3,0.01266528686441043,7.856183585454703e-08,2.6127347131355894,7.856183585171656e-08,12030.0,0.0
JADE,3,welded_beam,4,12486705.718620386,2.7670761671223024e-09,12486703.993768387,2.7670761671223024e-09,16014.0,0.0
JADE,4,gear_box,5,6415.27991745469,0.0,,,3495.0,0.0
JADE,5,speed_reducer,7,2715.626910540027,1.1942250499462038e-13,278.37308945997296,1.1942250499462038e-13,18525.0,0.0
JADE,6,car_side_impact,11,8902973.941673076,0.0,,,40133.333333333336,0.0
JADE,7,hydrostatic_thrust_bearing,4,inf,,,,0.0,0.0
JADE,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,2217.0,0.0
JADE,9,ten_bar_truss,10,0.24970562732477133,1.2624868543568757e-17,,,40050.0,0.0
JADE,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,1581.0,0.0
JADE,11,cantilever_disc,5,26922296296584.633,9969734311478.268,,,3284.0,0.0
JADE,12,stepped_column,10,146292361.53839567,0.0,,,4764.0,0.0
LBFGSB,1,pressure_vessel,4,894153.407991402,951456.3408682585,888093.693991402,951456.3408682586,400.0,0.0
LBFGSB,2,tension_spring,3,2484710.1554047507,1523950.9222467786,2484708.8221038654,1523948.7429127295,74.13333333333334,0.0
LBFGSB,3,welded_beam,4,1053604635.2211908,402562042.8925877,1053604633.4963387,402562042.89258766,262.8333333333333,0.0
LBFGSB,4,gear_box,5,6416.5849300462005,3.981966345310986,,,142.4,0.0
LBFGSB,5,speed_reducer,7,253141.74383324725,410269.53365966555,250313.25767004964,410165.08958081924,37.6,0.0
LBFGSB,6,car_side_impact,11,8943086.914184192,152651.43315309138,,,25.6,0.0
LBFGSB,7,hydrostatic_thrust_bearing,4,inf,,,,0.0,0.0
LBFGSB,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,8.0,0.0
LBFGSB,9,ten_bar_truss,10,9.073306981291099,7.870966214088507,,,833.8,0.0
LBFGSB,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,6.0,0.0
LBFGSB,11,cantilever_disc,5,635366370370536.6,393953650446524.9,,,6.0,0.0
LBFGSB,12,stepped_column,10,146292361.53839567,0.0,,,22.0,0.0
LSHADE,1,pressure_vessel,4,5802.685851248983,2.726445866802743e-10,257.0281487510167,2.726454240298333e-10,13839.333333333334,0.0
LSHADE,2,tension_spring,3,0.012665245914913434,2.0765023759919845e-08,2.6127347540850865,2.0765023721767956e-08,12015.0,0.0
LSHADE,3,welded_beam,4,12486705.718620386,4.264350767972611e-09,12486703.993768387,4.264350767972611e-09,11651.333333333334,0.0
LSHADE,4,gear_box,5,6415.27991745469,0.0,,,3289.1666666666665,0.0
LSHADE,5,speed_reducer,7,2715.626910540027,1.6888892621596084e-13,278.37308945997296,1.8674688252180643e-13,17683.166666666668,0.0
LSHADE,6,car_side_impact,11,8902973.941673076,0.0,,,20465.5,0.0
LSHADE,7,hydrostatic_thrust_bearing,4,inf,,,,0.0,0.0
LSHADE,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,1332.0,0.0
LSHADE,9,ten_bar_truss,10,0.24970562732629042,2.1507326440860883e-12,,,40050.0,0.0
LSHADE,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,643.6666666666666,0.0
LSHADE,11,cantilever_disc,5,26218962963252.965,8506775870015.133,,,1073.3333333333333,0.0
LSHADE,12,stepped_column,10,146292361.53839567,0.0,,,8765.0,0.0
MealpyGA,1,pressure_vessel,4,10275.22043098613,2202.591079213272,4215.50643098613,2202.591079213272,16020.0,0.0
MealpyGA,2,tension_spring,3,723.907148623788,3759.504166132949,726.0616988953857,3758.552219381944,12020.0,0.0
MealpyGA,3,welded_beam,4,69391762.12834309,35247763.19877625,69391760.4034911,35247763.19877625,16020.0,0.0
MealpyGA,4,gear_box,5,10117.033037301897,1746.1326218162876,,,49.0,0.0
MealpyGA,5,speed_reducer,7,56384.65298003635,113083.59116267135,53390.65298003635,113083.59116267135,69.0,0.0
MealpyGA,6,car_side_impact,11,13700442.266314782,1695144.2324251381,,,109.0,0.0
MealpyGA,7,hydrostatic_thrust_bearing,4,0.00026323326128117967,6.154759413328554e-05,,,1.0,0.0
MealpyGA,8,four_bar_truss,3,2.0869354509239786,0.052369328996124426,1.0869354509239784,0.05236932899612436,12020.0,0.0
MealpyGA,9,ten_bar_truss,10,0.30299961598503056,0.016694733019930554,,,40050.0,0.0
MealpyGA,10,cantilever_cont,2,5.835625570676316e+22,1.605770092582639e+21,,,8020.0,0.0
MealpyGA,11,cantilever_disc,5,66630074074291.08,22311943958215.965,,,49.0,0.0
MealpyGA,12,stepped_column,10,146757135.03524357,163986.7883300478,,,40050.0,0.0
NLSHADE-RSP,1,pressure_vessel,4,5925.3749310947205,93.80905243477038,144.91768290581834,75.78998425980733,16003.0,0.0
NLSHADE-RSP,2,tension_spring,3,0.012665839254186654,1.222907927349815e-07,2.6127341607458137,1.2229079273997802e-07,12002.0,0.0
NLSHADE-RSP,3,welded_beam,4,12493756.34134347,35553.29650445996,12493754.61649147,35553.29650445996,16003.0,0.0
NLSHADE-RSP,4,gear_box,5,6415.27991745469,0.0,,,20002.0,0.0
NLSHADE-RSP,5,speed_reducer,7,2715.626910540027,0.0,278.373089459973,0.0,28001.0,0.0
NLSHADE-RSP,6,car_side_impact,11,8902973.941673076,0.0,,,44002.0,0.0
NLSHADE-RSP,7,hydrostatic_thrust_bearing,4,inf,,,,0.0,0.0
NLSHADE-RSP,8,four_bar_truss,3,2.000000200000006,0.0,1.000000200000006,0.0,12002.0,0.0
NLSHADE-RSP,9,ten_bar_truss,10,0.2497056292120643,1.0118245468136932e-08,,,40002.0,0.0
NLSHADE-RSP,10,cantilever_cont,2,5.624980687516742e+22,0.0,,,8001.0,0.0
NLSHADE-RSP,11,cantilever_disc,5,48662666666883.336,10116675661317.63,,,20002.0,0.0
NLSHADE-RSP,12,stepped_column,10,146292361.53839567,0.0,,,40002.0,0.0
PSO,1,pressure_vessel,4,5953.61307393342,269.71048991147137,194.791747015024,212.45495724578245,16020.0,0.0
PSO,2,tension_spring,3,0.012666476569413613,1.1464009633090126e-06,2.6127335234305864,1.1464009633658737e-06,12020.0,0.0
PSO,3,welded_beam,4,12509307.642828058,69069.9438843207,12509305.917976059,69069.9438843207,16020.0,0.0
PSO,4,gear_box,5,6415.4249347404975,0.2603008804015981,,,20025.0,0.0
PSO,5,speed_reducer,7,2719.090511927333,5.986484225759664,274.9094880726667,5.986484225759674,28035.0,0.0
PSO,6,car_side_impact,11,8903515.110120159,1467.1728554407896,,,44055.0,0.0
PSO,7,hydrostatic_thrust_bearing,4,0.00026323326128117967,6.154759413328554e-05,,,1.0,0.0
