alg,suite,fid,dim,run,fbest,err,nfe,hit,time_sec
NLSHADE-RSP,eng,1,4,0,5937.442855193908,122.2711448060918,16003,0,0.40706300735473633
LSHADE,eng,1,4,0,5802.685851248933,257.0281487510665,15260,0,0.4161088466644287
JADE,eng,1,4,0,5802.685851248933,257.0281487510665,15540,0,0.43950867652893066
jSO,eng,1,4,0,5802.685851248933,257.0281487510665,14607,0,0.42134523391723633
Spiral-LSHADE,eng,1,4,0,5802.685851248933,257.0281487510665,16000,0,1.2082898616790771
CMAES,eng,1,4,0,5806.279826297263,253.4341737027371,10265,0,1.403996229171753
SciPyDE,eng,1,4,0,5831.717421237551,227.99657876244873,5880,0,0.2545948028564453
LBFGSB,eng,1,4,0,321229.5850281798,315169.8710281798,495,0,0.023243188858032227
PSO,eng,1,4,0,5827.432236428836,232.28176357116354,16020,0,1.3816516399383545
GWO,eng,1,4,0,5824.838500906417,234.87549909358313,16020,0,1.5362675189971924
MealpyGA,eng,1,4,0,8907.707089547825,2847.9930895478246,16020,0,2.0165159702301025
SSA,eng,1,4,0,6212.373893934152,152.65989393415202,30420,0,2.9657962322235107
NLSHADE-RSP,eng,1,4,1,5806.129699263851,253.5843007361491,16003,0,0.4263877868652344
LSHADE,eng,1,4,1,5802.685851248933,257.0281487510665,16020,0,0.43213772773742676
JADE,eng,1,4,1,5802.685851248933,257.0281487510665,16050,0,0.4407529830932617
jSO,eng,1,4,1,5802.685851248933,257.0281487510665,14358,0,0.3932812213897705
Spiral-LSHADE,eng,1,4,1,5802.685851248935,257.0281487510647,16000,0,1.1718575954437256
CMAES,eng,1,4,1,5803.987874489902,255.72612551009752,10601,0,1.2903261184692383
SciPyDE,eng,1,4,1,5832.379431463239,227.33456853676125,5280,0,0.2586829662322998
LBFGSB,eng,1,4,1,321229.58502818,315169.87102818,410,0,0.017248868942260742
PSO,eng,1,4,1,6100.960912798179,41.24691279817944,16020,0,1.3116447925567627
GWO,eng,1,4,1,6063.083082925698,3.3690829256984216,16020,0,1.6734647750854492
MealpyGA,eng,1,4,1,8449.648929980862,2389.934929980862,16020,0,2.148149251937866
SSA,eng,1,4,1,8032.049771449866,1972.3357714498661,30420,0,3.214989185333252
NLSHADE-RSP,eng,1,4,2,6000.408195871559,59.305804128441196,16003,0,0.5095856189727783
LSHADE,eng,1,4,2,5802.685851248934,257.0281487510656,9260,0,0.29418420791625977
JADE,eng,1,4,2,5802.6858512489325,257.0281487510674,16050,0,0.5062177181243896
jSO,eng,1,4,2,5802.685851248933,257.0281487510665,15096,0,0.445343017578125
Spiral-LSHADE,eng,1,4,2,5802.685851248933,257.0281487510665,16000,0,1.2737936973571777
CMAES,eng,1,4,2,5814.757690742191,244.95630925780915,10129,0,1.433269739151001
SciPyDE,eng,1,4,2,5832.3815928189915,227.33240718100842,5880,0,0.27071595191955566
