Algorithm,mean,std,std_of_mean,best,worst,runs
jSO,5802.685851248933,3.377778524319217e-13,6.166951640087157e-14,5802.6858512489325,5802.685851248934,30
LSHADE,5802.685851248983,2.726445866802743e-10,4.9777863435486264e-11,5802.6858512489325,5802.685851250427,30
JADE,5802.68585124902,4.708224648777872e-10,8.596002819791596e-11,5802.6858512489325,5802.685851251514,30
Spiral-LSHADE,5804.562555863812,8.069144689358456,1.4732175220448809,5802.685851248933,5846.435114654262,30
CMAES,5807.405203004341,3.381921104379864,0.617451492190545,5803.252211551925,5815.131069469073,30
SciPyDE,5838.470348339309,34.74476268180395,6.343496758662571,5809.926297602663,5962.901728899174,30
NLSHADE-RSP,5925.3749310947205,93.80905243477031,17.127111372236207,5802.6858512489325,6117.319022751218,30
PSO,5953.61307393342,269.71048991147137,49.2421731067608,5803.106509084772,7297.496821695612,30
GWO,5995.3377480741265,334.9036187339022,61.14475552355599,5807.55052551445,7304.935272208574,30
SSA,6958.2854715757385,679.6540925298057,124.08729259309266,5928.753144539789,8527.582035039557,30
GA,10275.22043098613,2202.591079213272,402.13627301491914,7119.707400868313,14870.563229208215,30
LBFGSB,894153.407991402,951456.3408682585,173711.3667916232,6959.381498538505,4515762.844685814,30
