Algorithm,mean,std,std_of_mean,best,worst,runs
JADE,12486705.718620386,2.7670761671223024e-09,5.051966783559399e-10,12486705.71862038,12486705.718620392,30
LSHADE,12486705.718620386,4.063223110687813e-09,7.418396513000084e-10,12486705.71862038,12486705.718620392,30
jSO,12486705.718620386,2.1875657868188005e-09,3.993930424890648e-10,12486705.71862038,12486705.718620388,30
CMAES,12486705.718620392,4.402391224121686e-09,8.037629934714097e-10,12486705.718620382,12486705.718620405,30
Spiral-LSHADE,12486705.71862042,1.3294480005651234e-07,2.427228863132196e-08,12486705.718620382,12486705.718621124,30
NLSHADE-RSP,12493756.34134347,35553.29650445996,6491.114163054098,12486705.718620392,12681702.16681691,30
PSO,12509307.642828058,69069.9438843207,12610.388770352814,12486937.447723296,12865828.154483272,30
SciPyDE,12517548.185229907,19941.193306925994,3640.747132591469,12493697.830717154,12591276.038549114,30
GWO,12566673.690151116,81269.88887374109,14837.783794028705,12488982.554193497,12835100.366117066,30
SSA,22457096.32051473,5547007.903671118,1012740.4518333717,14485657.125450224,32598191.353513144,30
MealpyGA,69391762.12834309,35247763.19877625,6435331.668523401,14895434.650921673,175885398.8122841,30
LBFGSB,1053604635.2211909,402562042.8925877,73497437.22921084,57330367.44343417,1502423781.0083003,30
