Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
GWO,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
JADE,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
LSHADE,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
NLSHADE-RSP,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
Spiral-LSHADE,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
jSO,6415.27991745469,0.0,0.0,6415.27991745469,6415.27991745469,30
PSO,6415.4249347404975,0.2603008804015981,0.0475242213114699,6415.27991745469,6416.094320605681,30
LBFGSB,6416.5849300462005,3.981966345310986,0.7270042635177442,6415.27991745469,6428.330043369798,30
SciPyDE,6432.00217505586,8.122373310146681,1.482935694148414,6418.599107788244,6448.670387634148,30
SSA,6603.969533483687,184.66239345730096,33.71458613981938,6422.013351932871,7173.373361805428,30
MealpyGA,10117.033037301897,1746.1326218162876,318.79874178813935,7533.787308163058,13406.981238312132,30
