Algorithm,mean,std,std_of_mean,best,worst,runs
JADE,2715.626910540027,1.1942250499462038e-13,2.1803466619775648e-14,2715.626910540027,2715.6269105400274,30
LSHADE,2715.626910540027,1.6888892621596084e-13,3.083475820043579e-14,2715.626910540027,2715.6269105400274,30
NLSHADE-RSP,2715.626910540027,0.0,0.0,2715.626910540027,2715.626910540027,30
jSO,2715.626910540027,1.1942250499462038e-13,2.1803466619775648e-14,2715.626910540027,2715.6269105400274,30
Spiral-LSHADE,2715.6269105400274,3.377778524319217e-13,6.166951640087157e-14,2715.626910540027,2715.6269105400274,30
CMAES,2715.6269105400274,4.3878630156269324e-13,8.011105176338381e-14,2715.626910540027,2715.6269105400274,30
GWO,2717.3272842716774,1.4263193473779656,0.2604090935883196,2715.8200407486734,2723.794847200973,30
PSO,2719.090511927333,5.9864842257595114,1.0929774835324446,2715.636600037167,2739.700277695425,30
SciPyDE,2732.9571358955623,4.911510412980531,0.8967150148703171,2724.2082038848275,2742.101070982439,30
SSA,2823.0097324968324,60.525490719355176,11.05039219035347,2734.472887083283,2937.1786172760903,30
MealpyGA,56384.65298003635,113083.59116267135,20646.144587828985,3072.676167547469,509241.4271826788,30
LBFGSB,253141.74383324722,410269.53365966544,74904.62608084126,2716.822960678796,1070908.102084563,30
