Algorithm,mean,std,std_of_mean,best,worst,runs
JADE,8902973.941673076,0.0,0.0,8902973.941673076,8902973.941673076,30
LSHADE,8902973.941673076,0.0,0.0,8902973.941673076,8902973.941673076,30
NLSHADE-RSP,8902973.941673076,0.0,0.0,8902973.941673076,8902973.941673076,30
Spiral-LSHADE,8902973.941673076,0.0,0.0,8902973.941673076,8902973.941673076,30
jSO,8902973.941673076,0.0,0.0,8902973.941673076,8902973.941673076,30
CMAES,8902973.94167328,1.2521784018579184e-07,2.2861545223945023e-08,8902973.941673076,8902973.941673426,30
GWO,8902973.941941533,0.0002456693025788339,4.485287290299647e-05,8902973.941684192,8902973.94271956,30
PSO,8903515.110120159,1467.1728554407896,267.86788956139554,8902975.883802123,8910026.571037069,30
SciPyDE,8927777.77290772,7635.068553913588,1393.966425025607,8914610.696371213,8943175.597640824,30
LBFGSB,8943086.91418419,152651.4331530909,27870.211124479953,8902974.828923397,9504656.107835315,30
SSA,9801421.09806653,519648.5311978503,94874.40750382989,9045340.118231626,10875523.28090315,30
MealpyGA,13700442.266314782,1695144.2324251381,309489.5781080095,10734838.928897643,17596245.293534808,30
