Algorithm,mean,std,std_of_mean,best,worst,runs
Spiral-LSHADE,0.0001402126855401,0.0,0.0,0.0001402126855401,0.0001402126855401,30
SciPyDE,0.00014052668437927333,1.5581081271377997e-07,2.8447032275516673e-08,0.0001403141657839,0.0001410078238981,30
jSO,0.0002046560137504,0.0,0.0,0.0002046560137504,0.0002046560137504,30
GWO,0.00026323326128113,6.154759413329025e-05,1.1237001888991899e-05,0.000172307301306,0.0003862668840195,30
SSA,0.00026323326128113,6.154759413329025e-05,1.1237001888991899e-05,0.000172307301306,0.0003862668840195,30
MealpyGA,0.00026323326128113,6.154759413329025e-05,1.1237001888991899e-05,0.000172307301306,0.0003862668840195,30
PSO,0.00026323326128113,6.154759413329025e-05,1.1237001888991899e-05,0.000172307301306,0.0003862668840195,30
CMAES,inf,,,inf,inf,30
NLSHADE-RSP,inf,,,inf,inf,30
LSHADE,inf,,,inf,inf,30
JADE,inf,,,inf,inf,30
LBFGSB,inf,,,inf,inf,30
