Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
GWO,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
JADE,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
LBFGSB,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
LSHADE,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
NLSHADE-RSP,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
jSO,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
Spiral-LSHADE,2.000000200000006,0.0,0.0,2.000000200000006,2.000000200000006,30
PSO,2.0000014895848772,4.107596732759052e-06,7.499411292222175e-07,2.000000200000006,2.0000193862677933,30
SSA,2.0012152741807996,0.0019199891209425001,0.00035054045056824064,2.000000200000006,2.010204497715281,30
SciPyDE,2.004067799750433,0.0023787513568871038,0.0004342985922876962,2.000886673636572,2.012672355740172,30
MealpyGA,2.0869354509239786,0.052369328996124426,0.009561287604195574,2.016999954546775,2.2070713074358723,30
