Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
GWO,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
JADE,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
LBFGSB,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
LSHADE,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
NLSHADE-RSP,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
PSO,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
Spiral-LSHADE,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
jSO,5.624980687516742e+22,0.0,0.0,5.624980687516742e+22,5.624980687516742e+22,30
SciPyDE,5.6322645458025666e+22,5.131523790071653e+19,9.368837780655497e+18,5.625744199632873e+22,5.647412354627178e+22,30
SSA,5.646911179804706e+22,3.417046840354969e+20,6.238645448380568e+19,5.624980687516742e+22,5.778341549665253e+22,30
MealpyGA,5.835625570676316e+22,1.6057700925826387e+21,2.9317216729155676e+20,5.63713297633405e+22,6.3026842991779765e+22,30
