Algorithm,mean,std,std_of_mean,best,worst,runs
GWO,23307111111411.117,0.0,0.0,23307111111411.117,23307111111411.117,30
Spiral-LSHADE,23307111111411.117,0.0,0.0,23307111111411.117,23307111111411.117,30
jSO,23307111111411.117,0.0,0.0,23307111111411.117,23307111111411.117,30
LSHADE,26218962963252.965,8506775870015.13,1553117678549.3071,23307111111411.117,55696000000200.0,30
JADE,26922296296584.633,9969734311478.266,1820216124909.9607,23307111111411.117,55696000000200.0,30
SSA,28575259259535.93,5728165817968.001,1045815210543.7018,23307111111411.117,34596000000250.0,30
SciPyDE,31110814815083.15,8675633112597.873,1583946652136.2039,23307111111411.117,55696000000200.0,30
CMAES,41518962963206.63,18306633973813.836,3342318793149.4253,23307111111411.117,101973777777927.78,30
NLSHADE-RSP,48662666666883.336,10116675661317.63,1847043822222.3867,34596000000250.0,55696000000200.0,30
PSO,48694148148371.82,20911397973441.02,3817881459673.821,23307111111411.117,101973777777937.78,30
MealpyGA,66630074074291.08,22311943958215.965,4073585002568.6626,34596000000250.0,101973777777967.78,30
LBFGSB,635366370370536.6,393953650446524.9,71925766987022.28,101973777777957.78,972196000000210.0,30
