Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
GWO,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
JADE,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
LBFGSB,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
LSHADE,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
NLSHADE-RSP,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
jSO,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
Spiral-LSHADE,146292361.53839567,0.0,0.0,146292361.53839567,146292361.53839567,30
MealpyGA,146757135.03524357,163986.7883300478,29939.754367064037,146508824.976574,147080951.37904042,30
SciPyDE,148175011.70790228,458161.9758662274,83648.54972435675,147502999.7551337,149285274.49467647,30
PSO,149013556.46772185,2875125.534451307,524923.7036260258,146713343.05937853,160960416.53333956,30
SSA,180730669.0545426,18565174.27145324,3389521.5774964923,153084372.59037673,230886838.8075033,30
