Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
GWO,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
JADE,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
LBFGSB,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
LSHADE,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
NLSHADE-RSP,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
PSO,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
Spiral-LSHADE,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
jSO,3600000.7450000127,0.0,0.0,3600000.7450000127,3600000.7450000127,30
SciPyDE,3602049.5755359246,1373.5518276795567,250.77510664084733,3600320.84120737,3606619.821684917,30
SSA,3603358.9993608133,4070.796562974463,743.2223681852043,3600059.886292828,3617526.32019819,30
MealpyGA,3621233.1712461314,11024.626181520493,2012.8121492269393,3602988.674834788,3639593.3576993695,30
