Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
GWO,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
JADE,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
LBFGSB,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
LSHADE,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
NLSHADE-RSP,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
jSO,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
Spiral-LSHADE,278.96001072128024,0.0,0.0,278.96001072128024,278.96001072128024,30
PSO,278.96002669034635,7.602840082404917e-05,1.388082338079203e-05,278.96001072128024,278.9604278339193,30
SciPyDE,279.6486102347495,0.3308790011774902,0.0604099642498966,279.11771305165865,280.6265292517327,30
MealpyGA,283.4676035989885,2.909558798119022,0.5312103287058026,279.63722297299694,290.52995898685805,30
SSA,286.473590354601,7.333786317163797,1.3389600659444494,279.2279370741446,307.4535821453759,30
