Algorithm,mean,std,std_of_mean,best,worst,runs
CMAES,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
GWO,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
JADE,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
LSHADE,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
PSO,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
NLSHADE-RSP,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
jSO,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
Spiral-LSHADE,15.9018041246081,0.0,0.0,15.9018041246081,15.9018041246081,30
SciPyDE,15.911073683929342,0.007748625038756072,0.0014146989077920141,15.902757394680233,15.939810158576996,30
MealpyGA,16.607958749672957,0.520883512667521,0.09509988324017639,15.947670994267405,18.254240641701205,30
SSA,24.86922024572635,10.180941763422302,1.8587771534909396,15.90240545232924,49.9548457360532,30
LBFGSB,609.2446375742135,318.7674605966441,58.19870958914039,66.80546612919855,1124.6494803497717,30
