Algorithm,mean,std,std_of_mean,best,worst,runs
jSO,2.4862403683119833e-06,1.421538516583723e-06,2.595362372984456e-07,1.643428473918629e-06,4.803973077893708e-06,30
Spiral-LSHADE,2.591591855111153e-06,1.4731032903880485e-06,2.689506338935391e-07,1.643428473918629e-06,4.803973077893708e-06,30
JADE,6.294264023209983e-06,8.1731739083776e-06,1.4922105720103578e-06,1.643428473918629e-06,3.690053033580942e-05,30
SciPyDE,8.581273592866052e-06,6.971668547146562e-06,1.2728467089071468e-06,1.643428473918629e-06,2.5694532259229463e-05,30
NLSHADE-RSP,9.520253872230543e-06,1.0362350583292933e-05,1.8918977210821183e-06,1.643428473918629e-06,3.690053033580942e-05,30
LSHADE,1.4168320985509982e-05,1.7737454822163767e-05,3.2384013729426266e-06,1.643428473918629e-06,6.184526551222813e-05,30
GWO,1.8228100360622352e-05,1.4368216438874246e-05,2.623265418229324e-06,1.643428473918629e-06,3.690053033580942e-05,30
PSO,3.869973021138787e-05,3.438735055358087e-05,6.278242530344667e-06,4.803973077893708e-06,0.0001651196716843,30
CMAES,7.145832892362075e-05,7.049377495847053e-05,1.287034356948237e-05,1.643428473918629e-06,0.0003088571763695,30
SSA,8.971401428871756e-05,8.140137201335543e-05,1.4861789221194828e-05,4.803973077893708e-06,0.0003487744007936,30
MealpyGA,0.0006383598127123261,0.0004459901907098723,8.142629595927601e-05,1.2429984110967627e-05,0.0015980536627578,30
LBFGSB,2.0388885682375997,1.7121112685407296,0.3125873209128476,0.0397206752272399,6.179250086991946,30
