alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,1,0,5806.279826297263,eng,4,10265,1.403996229171753,0,253.4341737027371
CMAES,1,1,5803.987874489902,eng,4,10601,1.2903261184692385,0,255.72612551009752
CMAES,1,2,5814.757690742191,eng,4,10129,1.433269739151001,0,244.95630925780915
CMAES,1,3,5815.131069469073,eng,4,10025,1.4002971649169922,0,244.58293053092711
CMAES,1,4,5807.997225143607,eng,4,10377,1.298121213912964,0,251.71677485639336
CMAES,1,5,5813.319141542137,eng,4,10353,1.5212125778198242,0,246.3948584578629
CMAES,1,6,5806.477736780643,eng,4,10585,1.993741512298584,0,253.2362632193572
CMAES,1,7,5804.481717321885,eng,4,10137,1.5387797355651855,0,255.23228267811464
CMAES,1,8,5808.051405024336,eng,4,10649,1.400033950805664,0,251.66259497566352
CMAES,1,9,5805.211954733943,eng,4,10497,1.5005550384521484,0,254.5020452660574
CMAES,1,10,5804.18393856218,eng,4,10313,1.273768186569214,0,255.53006143782025
CMAES,1,11,5813.651167754705,eng,4,10017,1.172748327255249,0,246.06283224529489
CMAES,1,12,5806.448434585438,eng,4,10529,1.158220291137695,0,253.26556541456196
CMAES,1,13,5810.70774872942,eng,4,10153,1.2888739109039309,0,249.00625127057992
CMAES,1,14,5810.991346749935,eng,4,10289,1.4688055515289309,0,248.72265325006535
CMAES,1,15,5805.452462537203,eng,4,10321,1.2069721221923828,0,254.2615374627967
CMAES,1,16,5806.314295746849,eng,4,10233,1.3310904502868652,0,253.39970425315096
CMAES,1,17,5810.086135557417,eng,4,10817,1.709346055984497,0,249.6278644425829
CMAES,1,18,5809.076796974908,eng,4,10321,1.2664530277252195,0,250.63720302509228
CMAES,1,19,5805.53933951737,eng,4,10241,1.243438720703125,0,254.17466048263032
CMAES,1,20,5803.252211551925,eng,4,10577,1.574392795562744,0,256.4617884480749
CMAES,1,21,5804.914516677119,eng,4,10321,1.5520594120025637,0,254.7994833228813
CMAES,1,22,5806.921142006806,eng,4,10193,1.553386688232422,0,252.79285799319405
CMAES,1,23,5803.651924453555,eng,4,10705,1.31390380859375,0,256.0620755464452
CMAES,1,24,5805.8624113153255,eng,4,10057,1.2830157279968262,0,253.85158868467445
CMAES,1,25,5804.132301780105,eng,4,10641,1.3299827575683594,0,255.5816982198949
CMAES,1,26,5804.62269927681,eng,4,10249,1.3158237934112549,0,255.09130072319024
CMAES,1,27,5806.04802944292,eng,4,10537,1.3735439777374268,0,253.66597055708007
CMAES,1,28,5808.307749372092,eng,4,10377,1.3162171840667725,0,251.40625062790787
CMAES,1,29,5806.2957959931855,eng,4,10449,1.5127840042114258,0,253.41820400681445
GWO,1,0,5824.838500906417,eng,4,16020,1.5362675189971924,0,234.87549909358316
GWO,1,1,6063.083082925698,eng,4,16020,1.6734647750854492,0,3.3690829256984216
GWO,1,2,6218.969334960913,eng,4,16020,1.5571069717407229,0,159.2553349609134
GWO,1,3,5811.560263240935,eng,4,16020,1.5311508178710938,0,248.1537367590654
GWO,1,4,5828.011598446453,eng,4,16020,1.6117348670959473,0,231.70240155354716
GWO,1,5,5898.327242095932,eng,4,16020,2.101278305053711,0,161.38675790406796
GWO,1,6,5863.189267868151,eng,4,16020,1.8724935054779053,0,196.5247321318493
GWO,1,7,6472.802171593688,eng,4,16020,1.8745174407958984,0,413.08817159368846
GWO,1,8,6320.49757701716,eng,4,16020,1.7754034996032717,0,260.7835770171605
