alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,3,0,12486705.718620388,eng,4,6145,0.7547130584716797,0,12486703.993768388
CMAES,3,1,12486705.71862039,eng,4,4041,0.594456672668457,0,12486703.99376839
CMAES,3,2,12486705.718620395,eng,4,4361,0.638258695602417,0,12486703.993768396
CMAES,3,3,12486705.718620392,eng,4,4121,0.6606447696685791,0,12486703.993768394
CMAES,3,4,12486705.718620392,eng,4,4041,0.5127520561218262,0,12486703.993768394
CMAES,3,5,12486705.718620388,eng,4,4417,0.5901448726654053,0,12486703.993768388
CMAES,3,6,12486705.71862039,eng,4,4681,0.708195686340332,0,12486703.99376839
CMAES,3,7,12486705.718620395,eng,4,5041,0.7054059505462646,0,12486703.993768396
CMAES,3,8,12486705.718620388,eng,4,4905,0.6859097480773926,0,12486703.993768388
CMAES,3,9,12486705.718620382,eng,4,4505,0.5435521602630615,0,12486703.993768385
CMAES,3,10,12486705.718620395,eng,4,4041,0.534027099609375,0,12486703.993768396
CMAES,3,11,12486705.71862039,eng,4,5025,0.6189441680908203,0,12486703.99376839
CMAES,3,12,12486705.718620388,eng,4,4873,0.6893393993377686,0,12486703.993768388
CMAES,3,13,12486705.718620395,eng,4,4513,0.6229457855224609,0,12486703.993768396
CMAES,3,14,12486705.718620392,eng,4,4041,0.5977869033813477,0,12486703.993768392
CMAES,3,15,12486705.71862039,eng,4,4041,0.4916160106658935,0,12486703.99376839
CMAES,3,16,12486705.718620392,eng,4,5961,0.7262887954711914,0,12486703.993768394
CMAES,3,17,12486705.71862039,eng,4,3977,0.561331033706665,0,12486703.99376839
CMAES,3,18,12486705.718620405,eng,4,4705,0.7001888751983643,0,12486703.993768403
CMAES,3,19,12486705.718620392,eng,4,4041,0.5682961940765381,0,12486703.993768394
CMAES,3,20,12486705.718620395,eng,4,4585,0.7705910205841064,0,12486703.993768396
CMAES,3,21,12486705.718620392,eng,4,4041,0.5279407501220703,0,12486703.993768392
CMAES,3,22,12486705.718620388,eng,4,4041,0.5011894702911377,0,12486703.993768388
CMAES,3,23,12486705.718620392,eng,4,4113,0.5067079067230225,0,12486703.993768394
CMAES,3,24,12486705.718620386,eng,4,5521,0.699387788772583,0,12486703.993768388
CMAES,3,25,12486705.718620392,eng,4,3681,0.5246949195861816,0,12486703.993768392
CMAES,3,26,12486705.718620388,eng,4,5961,0.732306718826294,0,12486703.993768388
CMAES,3,27,12486705.718620395,eng,4,4529,0.5420916080474854,0,12486703.993768396
CMAES,3,28,12486705.718620395,eng,4,4041,0.5837302207946777,0,12486703.993768396
CMAES,3,29,12486705.718620392,eng,4,4041,0.4948599338531494,0,12486703.993768392
GWO,3,0,12673448.820739374,eng,4,16020,1.6840875148773191,0,12673447.095887374
GWO,3,1,12488982.554193497,eng,4,16020,1.544929265975952,0,12488980.829341495
GWO,3,2,12699287.548166892,eng,4,16020,1.621753454208374,0,12699285.823314894
GWO,3,3,12568004.314769655,eng,4,16020,1.6538527011871338,0,12568002.589917658
GWO,3,4,12680865.175054643,eng,4,16020,1.6030678749084473,0,12680863.450202644
GWO,3,5,12493092.343182577,eng,4,16020,1.7024102210998535,0,12493090.618330576
GWO,3,6,12536659.479749732,eng,4,16020,1.8262901306152344,0,12536657.754897732
GWO,3,7,12510371.461291732,eng,4,16020,1.8474607467651367,0,12510369.736439733
GWO,3,8,12509035.002071334,eng,4,16020,1.7628214359283447,0,12509033.277219336
GWO,3,9,12592389.202134931,eng,4,16020,1.6821327209472656,0,12592387.477282934
GWO,3,10,12508405.756002612,eng,4,16020,1.6611051559448242,0,12508404.031150611
GWO,3,11,12531179.584778324,eng,4,16020,1.6661369800567627,0,12531177.859926324
GWO,3,12,12523900.109500134,eng,4,16020,1.7035892009735107,0,12523898.384648137
GWO,3,13,12835100.366117066,eng,4,16020,1.650562763214111,0,12835098.641265066
GWO,3,14,12535284.53838159,eng,4,16020,1.6722629070281982,0,12535282.81352959
