alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,4,0,6415.27991745469,eng,5,1073,0.1400017738342285,0,
CMAES,4,1,6415.27991745469,eng,5,1273,0.1702334880828857,0,
CMAES,4,2,6415.27991745469,eng,5,1361,0.1692874431610107,0,
CMAES,4,3,6415.27991745469,eng,5,1065,0.1618928909301757,0,
CMAES,4,4,6415.27991745469,eng,5,1033,0.1480276584625244,0,
CMAES,4,5,6415.27991745469,eng,5,1081,0.1971759796142578,0,
CMAES,4,6,6415.27991745469,eng,5,1265,0.2067394256591797,0,
CMAES,4,7,6415.27991745469,eng,5,1369,0.2246570587158203,0,
CMAES,4,8,6415.27991745469,eng,5,1201,0.1663885116577148,0,
CMAES,4,9,6415.27991745469,eng,5,1473,0.308528184890747,0,
CMAES,4,10,6415.27991745469,eng,5,1225,0.1864068508148193,0,
CMAES,4,11,6415.27991745469,eng,5,1025,0.136549711227417,0,
CMAES,4,12,6415.27991745469,eng,5,1209,0.1657178401947021,0,
CMAES,4,13,6415.27991745469,eng,5,1065,0.1597518920898437,0,
CMAES,4,14,6415.27991745469,eng,5,1393,0.1993098258972168,0,
CMAES,4,15,6415.27991745469,eng,5,1113,0.1550543308258056,0,
CMAES,4,16,6415.27991745469,eng,5,1105,0.1545169353485107,0,
CMAES,4,17,6415.27991745469,eng,5,1137,0.1577332019805908,0,
CMAES,4,18,6415.27991745469,eng,5,1177,0.1600451469421386,0,
CMAES,4,19,6415.27991745469,eng,5,1129,0.1668572425842285,0,
CMAES,4,20,6415.27991745469,eng,5,1313,0.199653148651123,0,
CMAES,4,21,6415.27991745469,eng,5,929,0.191253662109375,0,
CMAES,4,22,6415.27991745469,eng,5,1425,0.2331507205963134,0,
CMAES,4,23,6415.27991745469,eng,5,1297,0.18886399269104,0,
CMAES,4,24,6415.27991745469,eng,5,1129,0.1827733516693115,0,
CMAES,4,25,6415.27991745469,eng,5,1081,0.1843571662902832,0,
CMAES,4,26,6415.27991745469,eng,5,1065,0.1576972007751464,0,
CMAES,4,27,6415.27991745469,eng,5,1297,0.184122085571289,0,
CMAES,4,28,6415.27991745469,eng,5,1393,0.2036535739898681,0,
CMAES,4,29,6415.27991745469,eng,5,1425,0.2104740142822265,0,
GWO,4,0,6415.27991745469,eng,5,20025,1.8014466762542725,0,
GWO,4,1,6415.27991745469,eng,5,20025,1.9642627239227293,0,
GWO,4,2,6415.27991745469,eng,5,20025,1.8994886875152588,0,
GWO,4,3,6415.27991745469,eng,5,20025,2.178800344467163,0,
GWO,4,4,6415.27991745469,eng,5,20025,2.125441789627075,0,
GWO,4,5,6415.27991745469,eng,5,20025,2.281984329223633,0,
GWO,4,6,6415.27991745469,eng,5,20025,2.887436628341675,0,
GWO,4,7,6415.27991745469,eng,5,20025,2.1580746173858643,0,
GWO,4,8,6415.27991745469,eng,5,20025,1.9525465965271,0,
GWO,4,9,6415.27991745469,eng,5,20025,2.093151569366455,0,
GWO,4,10,6415.27991745469,eng,5,20025,2.033222198486328,0,
GWO,4,11,6415.27991745469,eng,5,20025,1.9599404335021973,0,
GWO,4,12,6415.27991745469,eng,5,20025,2.0281925201416016,0,
GWO,4,13,6415.27991745469,eng,5,20025,2.106577157974243,0,
GWO,4,14,6415.27991745469,eng,5,20025,2.1013643741607666,0,
GWO,4,15,6415.27991745469,eng,5,20025,2.175696849822998,0,
GWO,4,16,6415.27991745469,eng,5,20025,2.0401487350463867,0,
GWO,4,17,6415.27991745469,eng,5,20025,2.186339855194092,0,
GWO,4,18,6415.27991745469,eng,5,20025,2.334724187850952,0,
GWO,4,19,6415.27991745469,eng,5,20025,2.293335437774658,0,
GWO,4,20,6415.27991745469,eng,5,20025,2.51371169090271,0,
GWO,4,21,6415.27991745469,eng,5,20025,2.5065510272979736,0,
GWO,4,22,6415.27991745469,eng,5,20025,2.372752904891968,0,
GWO,4,23,6415.27991745469,eng,5,20025,2.514445781707764,0,
GWO,4,24,6415.27991745469,eng,5,20025,2.258506774902344,0,
GWO,4,25,6415.27991745469,eng,5,20025,2.384238004684448,0,
GWO,4,26,6415.27991745469,eng,5,20025,2.231874942779541,0,
GWO,4,27,6415.27991745469,eng,5,20025,2.317356824874878,0,
GWO,4,28,6415.27991745469,eng,5,20025,2.124110698699951,0,
GWO,4,29,6415.27991745469,eng,5,20025,1.9530341625213623,0,
JADE,4,0,6415.27991745469,eng,5,3420,0.1000151634216308,0,
JADE,4,1,6415.27991745469,eng,5,3330,0.1000196933746337,0,
JADE,4,2,6415.27991745469,eng,5,3480,0.102013349533081,0,
JADE,4,3,6415.27991745469,eng,5,3390,0.1357195377349853,0,
JADE,4,4,6415.27991745469,eng,5,3300,0.1079051494598388,0,
JADE,4,5,6415.27991745469,eng,5,3540,0.1128361225128173,0,
JADE,4,6,6415.27991745469,eng,5,3510,0.1148567199707031,0,
JADE,4,7,6415.27991745469,eng,5,3420,0.112912893295288,0,
JADE,4,8,6415.27991745469,eng,5,3390,0.1231665611267089,0,
JADE,4,9,6415.27991745469,eng,5,3750,0.1165773868560791,0,
JADE,4,10,6415.27991745469,eng,5,3240,0.1016478538513183,0,
JADE,4,11,6415.27991745469,eng,5,3900,0.118253469467163,0,
JADE,4,12,6415.27991745469,eng,5,3480,0.1060574054718017,0,
JADE,4,13,6415.27991745469,eng,5,3750,0.1126325130462646,0,
JADE,4,14,6415.27991745469,eng,5,3360,0.1081671714782714,0,
JADE,4,15,6415.27991745469,eng,5,3240,0.1064786911010742,0,
JADE,4,16,6415.27991745469,eng,5,3390,0.1078944206237793,0,
JADE,4,17,6415.27991745469,eng,5,3300,0.1048133373260498,0,
JADE,4,18,6415.27991745469,eng,5,3300,0.1115431785583496,0,
JADE,4,19,6415.27991745469,eng,5,3630,0.1336817741394043,0,
JADE,4,20,6415.27991745469,eng,5,3480,0.1445107460021972,0,
JADE,4,21,6415.27991745469,eng,5,3930,0.1781477928161621,0,
JADE,4,22,6415.27991745469,eng,5,3330,0.1180009841918945,0,
JADE,4,23,6415.27991745469,eng,5,3270,0.1299231052398681,0,
JADE,4,24,6415.27991745469,eng,5,3810,0.211179494857788,0,
JADE,4,25,6415.27991745469,eng,5,3660,0.1508040428161621,0,
JADE,4,26,6415.27991745469,eng,5,3450,0.1183638572692871,0,
JADE,4,27,6415.27991745469,eng,5,3240,0.1139981746673584,0,
JADE,4,28,6415.27991745469,eng,5,3780,0.123751163482666,0,
JADE,4,29,6415.27991745469,eng,5,3780,0.1205627918243408,0,
LBFGSB,4,0,6415.27991745469,eng,5,180,0.0094337463378906,0,
LBFGSB,4,1,6428.330043369798,eng,5,66,0.0033445358276367,0,
LBFGSB,4,2,6415.27991745469,eng,5,174,0.0076422691345214,0,
LBFGSB,4,3,6415.27991745469,eng,5,174,0.0085330009460449,0,
LBFGSB,4,4,6415.27991745469,eng,5,162,0.0078952312469482,0,
LBFGSB,4,5,6415.27991745469,eng,5,84,0.0062928199768066,0,
LBFGSB,4,6,6415.27991745469,eng,5,174,0.0157177448272705,0,
LBFGSB,4,7,6415.27991745469,eng,5,78,0.0055382251739501,0,
LBFGSB,4,8,6428.330043369798,eng,5,60,0.0041596889495849,0,
LBFGSB,4,9,6415.27991745469,eng,5,168,0.0132946968078613,0,
LBFGSB,4,10,6415.27991745469,eng,5,156,0.0079965591430664,0,
LBFGSB,4,11,6415.27991745469,eng,5,180,0.0085201263427734,0,
LBFGSB,4,12,6415.27991745469,eng,5,114,0.0081961154937744,0,
LBFGSB,4,13,6415.27991745469,eng,5,84,0.0043861865997314,0,
LBFGSB,4,14,6415.27991745469,eng,5,168,0.0081977844238281,0,
LBFGSB,4,15,6415.27991745469,eng,5,78,0.004054307937622,0,
LBFGSB,4,16,6415.27991745469,eng,5,180,0.0139596462249755,0,
LBFGSB,4,17,6415.27991745469,eng,5,174,0.0083956718444824,0,
LBFGSB,4,18,6428.330043369798,eng,5,72,0.0038187503814697,0,
LBFGSB,4,19,6415.27991745469,eng,5,78,0.0061266422271728,0,
LBFGSB,4,20,6415.27991745469,eng,5,174,0.0094900131225585,0,
LBFGSB,4,21,6415.27991745469,eng,5,168,0.0080809593200683,0,
LBFGSB,4,22,6415.27991745469,eng,5,180,0.0097057819366455,0,
LBFGSB,4,23,6415.27991745469,eng,5,174,0.0086119174957275,0,
LBFGSB,4,24,6415.27991745469,eng,5,168,0.0107753276824951,0,
LBFGSB,4,25,6415.27991745469,eng,5,174,0.0097496509552001,0,
LBFGSB,4,26,6415.27991745469,eng,5,186,0.0093274116516113,0,
LBFGSB,4,27,6415.27991745469,eng,5,180,0.0080926418304443,0,
LBFGSB,4,28,6415.27991745469,eng,5,84,0.005007266998291,0,
LBFGSB,4,29,6415.27991745469,eng,5,180,0.0096800327301025,0,
LSHADE,4,0,6415.27991745469,eng,5,3300,0.0982069969177246,0,
