alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,6,0,8902973.941673394,eng,11,7206,1.1241812705993652,0,
CMAES,6,1,8902973.941673405,eng,11,8669,1.1360173225402832,0,
CMAES,6,2,8902973.941673076,eng,11,7998,0.961219310760498,0,
CMAES,6,3,8902973.941673188,eng,11,5875,0.9705569744110109,0,
CMAES,6,4,8902973.941673392,eng,11,6667,1.0696804523468018,0,
CMAES,6,5,8902973.941673087,eng,11,6920,1.087726354598999,0,
CMAES,6,6,8902973.941673093,eng,11,8438,1.258720636367798,0,
CMAES,6,7,8902973.941673426,eng,11,6337,0.8443682193756104,0,
CMAES,6,8,8902973.941673161,eng,11,5941,0.8263845443725586,0,
CMAES,6,9,8902973.941673305,eng,11,6590,1.0245928764343262,0,
CMAES,6,10,8902973.941673413,eng,11,6480,0.830080509185791,0,
CMAES,6,11,8902973.941673182,eng,11,6612,1.0802929401397705,0,
CMAES,6,12,8902973.94167339,eng,11,6513,0.8095808029174805,0,
CMAES,6,13,8902973.941673147,eng,11,6469,1.061784029006958,0,
CMAES,6,14,8902973.941673296,eng,11,6502,0.775090217590332,0,
CMAES,6,15,8902973.94167341,eng,11,6678,0.9045007228851318,0,
CMAES,6,16,8902973.941673366,eng,11,6744,0.8017921447753906,0,
CMAES,6,17,8902973.9416732,eng,11,7096,0.9425475597381592,0,
CMAES,6,18,8902973.941673419,eng,11,6612,0.8493483066558838,0,
CMAES,6,19,8902973.941673173,eng,11,6095,0.7484951019287109,0,
CMAES,6,20,8902973.941673407,eng,11,5941,0.7045068740844727,0,
CMAES,6,21,8902973.941673089,eng,11,6172,0.8466689586639404,0,
CMAES,6,22,8902973.941673338,eng,11,6128,0.802692174911499,0,
CMAES,6,23,8902973.941673078,eng,11,6601,0.7976410388946533,0,
CMAES,6,24,8902973.941673243,eng,11,7129,0.8561351299285889,0,
CMAES,6,25,8902973.941673366,eng,11,6821,0.9273521900177002,0,
CMAES,6,26,8902973.941673268,eng,11,4665,0.6267774105072021,0,
CMAES,6,27,8902973.941673305,eng,11,5600,0.6687436103820801,0,
CMAES,6,28,8902973.941673389,eng,11,6282,0.7597315311431885,0,
CMAES,6,29,8902973.941673407,eng,11,6117,0.8027534484863281,0,
GWO,6,0,8902973.941697694,eng,11,44055,4.564795017242432,0,
GWO,6,1,8902973.94190708,eng,11,44055,4.621262073516846,0,
GWO,6,2,8902973.9420316,eng,11,44055,4.2766430377960205,0,
GWO,6,3,8902973.942092618,eng,11,44055,4.789911031723023,0,
GWO,6,4,8902973.941684192,eng,11,44055,4.585178375244141,0,
GWO,6,5,8902973.942217555,eng,11,44055,4.475100994110107,0,
GWO,6,6,8902973.941835549,eng,11,44055,4.312905788421631,0,
GWO,6,7,8902973.941736333,eng,11,44055,4.201740980148315,0,
GWO,6,8,8902973.942128725,eng,11,44055,4.363616466522217,0,
GWO,6,9,8902973.941734096,eng,11,44055,4.379794120788574,0,
GWO,6,10,8902973.941792566,eng,11,44055,4.53820013999939,0,
GWO,6,11,8902973.94184294,eng,11,44055,4.716486930847168,0,
GWO,6,12,8902973.941697856,eng,11,44055,4.160569429397583,0,
GWO,6,13,8902973.942176124,eng,11,44055,4.1291258335113525,0,
GWO,6,14,8902973.941700155,eng,11,44055,3.9622671604156494,0,
GWO,6,15,8902973.942382561,eng,11,44055,3.889564037322998,0,
GWO,6,16,8902973.941773687,eng,11,44055,3.8223915100097656,0,
GWO,6,17,8902973.94271956,eng,11,44055,3.8638274669647217,0,
GWO,6,18,8902973.941803098,eng,11,44055,4.130845069885254,0,
GWO,6,19,8902973.941982415,eng,11,44055,4.16813588142395,0,
GWO,6,20,8902973.942028046,eng,11,44055,4.126378297805786,0,
GWO,6,21,8902973.942150947,eng,11,44055,3.998780012130737,0,
GWO,6,22,8902973.941722328,eng,11,44055,3.84825587272644,0,
GWO,6,23,8902973.942177204,eng,11,44055,3.830829620361328,0,
GWO,6,24,8902973.94172147,eng,11,44055,4.0430076122283936,0,
GWO,6,25,8902973.94216245,eng,11,44055,4.169949769973755,0,
GWO,6,26,8902973.941699427,eng,11,44055,4.084632158279419,0,
GWO,6,27,8902973.941906972,eng,11,44055,4.126257658004761,0,
GWO,6,28,8902973.941938613,eng,11,44055,3.894352436065674,0,
GWO,6,29,8902973.941802142,eng,11,44055,3.957825183868408,0,
JADE,6,0,8902973.941673076,eng,11,44100,1.740701675415039,0,
JADE,6,1,8902973.941673076,eng,11,44100,1.5703167915344238,0,
JADE,6,2,8902973.941673076,eng,11,43400,1.3774645328521729,0,
JADE,6,3,8902973.941673076,eng,11,39900,1.3690824508666992,0,
JADE,6,4,8902973.941673076,eng,11,44100,1.536586046218872,0,
JADE,6,5,8902973.941673076,eng,11,44100,1.5231530666351318,0,
JADE,6,6,8902973.941673076,eng,11,38000,1.6434991359710691,0,
JADE,6,7,8902973.941673076,eng,11,44100,1.6625688076019287,0,
JADE,6,8,8902973.941673076,eng,11,44100,1.6754753589630127,0,
JADE,6,9,8902973.941673076,eng,11,37700,1.3507120609283447,0,
JADE,6,10,8902973.941673076,eng,11,37400,1.3713133335113523,0,
JADE,6,11,8902973.941673076,eng,11,44100,1.6208908557891846,0,
JADE,6,12,8902973.941673076,eng,11,34300,1.299921989440918,0,
JADE,6,13,8902973.941673076,eng,11,44100,1.6743097305297852,0,
JADE,6,14,8902973.941673076,eng,11,37100,1.1956167221069336,0,
JADE,6,15,8902973.941673076,eng,11,35100,1.153999090194702,0,
JADE,6,16,8902973.941673076,eng,11,39000,1.2058944702148438,0,
JADE,6,17,8902973.941673076,eng,11,44100,1.5251803398132324,0,
JADE,6,18,8902973.941673076,eng,11,34800,1.1704037189483645,0,
JADE,6,19,8902973.941673076,eng,11,34300,1.1346356868743896,0,
JADE,6,20,8902973.941673076,eng,11,43100,1.4087445735931396,0,
JADE,6,21,8902973.941673076,eng,11,44100,1.385261297225952,0,
JADE,6,22,8902973.941673076,eng,11,37700,1.3129394054412842,0,
JADE,6,23,8902973.941673076,eng,11,37400,1.1659843921661377,0,
JADE,6,24,8902973.941673076,eng,11,44100,1.3467168807983398,0,
JADE,6,25,8902973.941673076,eng,11,36000,1.180069923400879,0,
JADE,6,26,8902973.941673076,eng,11,36100,1.1993086338043213,0,
JADE,6,27,8902973.941673076,eng,11,33800,1.1351873874664309,0,
