alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,7,0,inf,eng,4,0,0.002192735671997,0,
CMAES,7,1,inf,eng,4,0,0.0019669532775878,0,
CMAES,7,2,inf,eng,4,0,0.0019648075103759,0,
CMAES,7,3,inf,eng,4,0,0.0019857883453369,0,
CMAES,7,4,inf,eng,4,0,0.0031754970550537,0,
CMAES,7,5,inf,eng,4,0,0.0031304359436035,0,
CMAES,7,6,inf,eng,4,0,0.0020365715026855,0,
CMAES,7,7,inf,eng,4,0,0.0020356178283691,0,
CMAES,7,8,inf,eng,4,0,0.0020489692687988,0,
CMAES,7,9,inf,eng,4,0,0.002044677734375,0,
CMAES,7,10,inf,eng,4,0,0.0019986629486083,0,
CMAES,7,11,inf,eng,4,0,0.0029759407043457,0,
CMAES,7,12,inf,eng,4,0,0.0019338130950927,0,
CMAES,7,13,inf,eng,4,0,0.0019748210906982,0,
CMAES,7,14,inf,eng,4,0,0.0019974708557128,0,
CMAES,7,15,inf,eng,4,0,0.0019400119781494,0,
CMAES,7,16,inf,eng,4,0,0.0019323825836181,0,
CMAES,7,17,inf,eng,4,0,0.0020387172698974,0,
CMAES,7,18,inf,eng,4,0,0.0019333362579345,0,
CMAES,7,19,inf,eng,4,0,0.0030934810638427,0,
CMAES,7,20,inf,eng,4,0,0.0020220279693603,0,
CMAES,7,21,inf,eng,4,0,0.0030581951141357,0,
CMAES,7,22,inf,eng,4,0,0.0030286312103271,0,
CMAES,7,23,inf,eng,4,0,0.0020258426666259,0,
CMAES,7,24,inf,eng,4,0,0.002070665359497,0,
CMAES,7,25,inf,eng,4,0,0.0019495487213134,0,
CMAES,7,26,inf,eng,4,0,0.002126932144165,0,
CMAES,7,27,inf,eng,4,0,0.0019490718841552,0,
CMAES,7,28,inf,eng,4,0,0.0020694732666015,0,
CMAES,7,29,inf,eng,4,0,0.001986026763916,0,
GWO,7,0,0.0002334840240773,eng,4,1,0.0004956722259521,0,
GWO,7,1,0.0003647526211413,eng,4,1,0.0004949569702148,0,
GWO,7,2,0.0002048042652627,eng,4,1,0.0004873275756835,0,
GWO,7,3,0.000200422797906,eng,4,1,0.0004737377166748,0,
GWO,7,4,0.0002187982435934,eng,4,1,0.0005989074707031,0,
GWO,7,5,0.0002997506185188,eng,4,1,0.0005044937133789,0,
GWO,7,6,0.0002227753529828,eng,4,1,0.0004932880401611,0,
GWO,7,7,0.0003294200074162,eng,4,1,0.0005285739898681,0,
GWO,7,8,0.0003862668840195,eng,4,1,0.0004980564117431,0,
GWO,7,9,0.0001944576965754,eng,4,1,0.0004675388336181,0,
GWO,7,10,0.000172307301306,eng,4,1,0.0006499290466308,0,
GWO,7,11,0.0002625870131958,eng,4,1,0.0006263256072998,0,
GWO,7,12,0.00038497905723,eng,4,1,0.0007174015045166,0,
GWO,7,13,0.0003028923042878,eng,4,1,0.0004830360412597,0,
GWO,7,14,0.0002027379531728,eng,4,1,0.0004663467407226,0,
GWO,7,15,0.0003126041093525,eng,4,1,0.0004572868347167,0,
GWO,7,16,0.0002547161511118,eng,4,1,0.0004863739013671,0,
GWO,7,17,0.0001798837914216,eng,4,1,0.0004727840423583,0,
GWO,7,18,0.0003087681353176,eng,4,1,0.0004723072052001,0,
GWO,7,19,0.0003610419151497,eng,4,1,0.0004708766937255,0,
GWO,7,20,0.0002686681457306,eng,4,1,0.0004918575286865,0,
GWO,7,21,0.0002503147576667,eng,4,1,0.0004603862762451,0,
GWO,7,22,0.0002252375590236,eng,4,1,0.0005075931549072,0,
GWO,7,23,0.0002857707207475,eng,4,1,0.0006628036499023,0,
GWO,7,24,0.0002316025127923,eng,4,1,0.0006630420684814,0,
GWO,7,25,0.000193057188425,eng,4,1,0.0004646778106689,0,
GWO,7,26,0.0002291978394369,eng,4,1,0.0006678104400634,0,
GWO,7,27,0.0002313191142786,eng,4,1,0.0006327629089355,0,
GWO,7,28,0.0003117497890527,eng,4,1,0.0004887580871582,0,
GWO,7,29,0.000272629968241,eng,4,1,0.0004684925079345,0,
JADE,7,0,inf,eng,4,0,2.5987625122070312e-05,0,
JADE,7,1,inf,eng,4,0,2.789497375488281e-05,0,
JADE,7,2,inf,eng,4,0,3.457069396972656e-05,0,
JADE,7,3,inf,eng,4,0,4.0531158447265625e-05,0,
JADE,7,4,inf,eng,4,0,2.1457672119140625e-05,0,
JADE,7,5,inf,eng,4,0,3.027915954589844e-05,0,
JADE,7,6,inf,eng,4,0,3.4332275390625e-05,0,
JADE,7,7,inf,eng,4,0,3.528594970703125e-05,0,
JADE,7,8,inf,eng,4,0,3.4809112548828125e-05,0,
JADE,7,9,inf,eng,4,0,3.552436828613281e-05,0,
JADE,7,10,inf,eng,4,0,2.5510787963867188e-05,0,
JADE,7,11,inf,eng,4,0,3.075599670410156e-05,0,
JADE,7,12,inf,eng,4,0,2.574920654296875e-05,0,
JADE,7,13,inf,eng,4,0,3.62396240234375e-05,0,
JADE,7,14,inf,eng,4,0,2.2172927856445312e-05,0,
JADE,7,15,inf,eng,4,0,2.3365020751953125e-05,0,
JADE,7,16,inf,eng,4,0,2.09808349609375e-05,0,
JADE,7,17,inf,eng,4,0,2.2411346435546875e-05,0,
JADE,7,18,inf,eng,4,0,2.1696090698242188e-05,0,
JADE,7,19,inf,eng,4,0,2.264976501464844e-05,0,
JADE,7,20,inf,eng,4,0,3.361701965332031e-05,0,
JADE,7,21,inf,eng,4,0,3.4332275390625e-05,0,
JADE,7,22,inf,eng,4,0,2.1219253540039062e-05,0,
JADE,7,23,inf,eng,4,0,3.4332275390625e-05,0,
JADE,7,24,inf,eng,4,0,3.147125244140625e-05,0,
JADE,7,25,inf,eng,4,0,3.0994415283203125e-05,0,
JADE,7,26,inf,eng,4,0,2.2172927856445312e-05,0,
JADE,7,27,inf,eng,4,0,3.266334533691406e-05,0,
JADE,7,28,inf,eng,4,0,3.24249267578125e-05,0,
JADE,7,29,inf,eng,4,0,2.193450927734375e-05,0,
LBFGSB,7,0,inf,eng,4,0,0.0002577304840087,0,
LBFGSB,7,1,inf,eng,4,0,0.0002870559692382,0,
LBFGSB,7,2,inf,eng,4,0,0.0003020763397216,0,
LBFGSB,7,3,inf,eng,4,0,0.0002181529998779,0,
LBFGSB,7,4,inf,eng,4,0,0.0002691745758056,0,
LBFGSB,7,5,inf,eng,4,0,0.0002293586730957,0,
LBFGSB,7,6,inf,eng,4,0,0.0002493858337402,0,
LBFGSB,7,7,inf,eng,4,0,0.0002977848052978,0,
LBFGSB,7,8,inf,eng,4,0,0.0002486705780029,0,
