alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,9,0,0.2497056273248139,eng,10,20111,2.1229286193847656,0,
CMAES,9,1,0.2497056273248258,eng,10,18071,2.198986053466797,0,
CMAES,9,2,0.249705627324805,eng,10,16181,1.8200559616088867,0,
CMAES,9,3,0.2497056273248296,eng,10,28971,3.1700055599212646,0,
CMAES,9,4,0.2497056273248088,eng,10,18311,1.9241347312927248,0,
CMAES,9,5,0.249705627324843,eng,10,15711,1.8721568584442136,0,
CMAES,9,6,0.2497056273248423,eng,10,16841,2.140019416809082,0,
CMAES,9,7,0.249705627324824,eng,10,16271,1.974729061126709,0,
CMAES,9,8,0.2497056273248255,eng,10,28461,3.26757287979126,0,
CMAES,9,9,0.2497056273248327,eng,10,15031,1.8276634216308596,0,
CMAES,9,10,0.2497056273248427,eng,10,11351,1.2630605697631836,0,
CMAES,9,11,0.2497056273248051,eng,10,17111,1.9132003784179688,0,
CMAES,9,12,0.2497056273248165,eng,10,16881,1.9622926712036133,0,
CMAES,9,13,0.2497056273248398,eng,10,12231,1.4170494079589844,0,
CMAES,9,14,0.2497056273247891,eng,10,12221,1.8695318698883057,0,
CMAES,9,15,0.2497056273248077,eng,10,13701,1.425417184829712,0,
CMAES,9,16,0.2497056273248188,eng,10,16791,1.8732671737670896,0,
CMAES,9,17,0.2497056273248341,eng,10,20401,2.511595726013184,0,
CMAES,9,18,0.24970562732481,eng,10,18421,2.4769983291625977,0,
CMAES,9,19,0.2497056273248585,eng,10,10851,1.3798906803131104,0,
CMAES,9,20,0.2497056273248097,eng,10,14611,1.6381657123565674,0,
CMAES,9,21,0.2497056273248209,eng,10,14941,1.7018182277679443,0,
CMAES,9,22,0.2497056273248052,eng,10,18311,2.4811313152313232,0,
CMAES,9,23,0.2497056273248308,eng,10,16171,2.176971435546875,0,
CMAES,9,24,0.2497056273249166,eng,10,12231,1.371346950531006,0,
CMAES,9,25,0.2497056273248471,eng,10,21081,2.700328826904297,0,
CMAES,9,26,0.2497056273248297,eng,10,10521,1.1450035572052002,0,
CMAES,9,27,0.2497056273249395,eng,10,17561,2.1497082710266118,0,
CMAES,9,28,0.2497056273248389,eng,10,20091,2.8772668838500977,0,
CMAES,9,29,0.2497056273248197,eng,10,15581,2.00022292137146,0,
GWO,9,0,0.2503637568294473,eng,10,40050,3.558443069458008,0,
GWO,9,1,0.2503906633593599,eng,10,40050,3.918201208114624,0,
GWO,9,2,0.2503521727755544,eng,10,40050,3.340914249420166,0,
GWO,9,3,0.2506187291418937,eng,10,40050,3.353755474090576,0,
GWO,9,4,0.2504325342088637,eng,10,40050,3.5498969554901123,0,
GWO,9,5,0.2507481985915674,eng,10,40050,4.011437654495239,0,
GWO,9,6,0.2502063987121808,eng,10,40050,3.851385116577149,0,
GWO,9,7,0.2502571669870753,eng,10,40050,4.13340425491333,0,
GWO,9,8,0.251174531592598,eng,10,40050,4.0382397174835205,0,
GWO,9,9,0.2502601156168781,eng,10,40050,3.902162790298462,0,
GWO,9,10,0.2505090506924241,eng,10,40050,4.324356317520142,0,
GWO,9,11,0.2504272451757103,eng,10,40050,3.860490322113037,0,
GWO,9,12,0.2502209625273853,eng,10,40050,3.964670181274414,0,
GWO,9,13,0.2503282924515666,eng,10,40050,3.589059591293335,0,
GWO,9,14,0.2510106276277178,eng,10,40050,3.5274205207824707,0,
GWO,9,15,0.2505816403194271,eng,10,40050,3.850557327270508,0,
GWO,9,16,0.2505082296751535,eng,10,40050,3.6071412563323975,0,
GWO,9,17,0.2506312197269446,eng,10,40050,4.0037922859191895,0,
GWO,9,18,0.2509715718785993,eng,10,40050,4.2127015590667725,0,
GWO,9,19,0.2506822215335009,eng,10,40050,3.4248077869415283,0,
GWO,9,20,0.2503702895620792,eng,10,40050,3.903402090072632,0,
GWO,9,21,0.2506564038526698,eng,10,40050,3.816244602203369,0,
GWO,9,22,0.2517759073997903,eng,10,40050,3.813886880874634,0,
GWO,9,23,0.2507690792337431,eng,10,40050,4.380741834640503,0,
GWO,9,24,0.2507562226609872,eng,10,40050,4.224625825881958,0,
GWO,9,25,0.2501439699828652,eng,10,40050,3.958173751831055,0,
GWO,9,26,0.2499845040032967,eng,10,40050,3.938466310501098,0,
GWO,9,27,0.2508295869212424,eng,10,40050,3.5043859481811523,0,
GWO,9,28,0.2503224863451301,eng,10,40050,3.9517934322357178,0,
GWO,9,29,0.2504453996433997,eng,10,40050,3.934415578842163,0,
JADE,9,0,0.2497056273247713,eng,10,40050,1.2986526489257812,0,
JADE,9,1,0.2497056273247713,eng,10,40050,1.1562085151672363,0,
JADE,9,2,0.2497056273247713,eng,10,40050,1.1078143119812012,0,
JADE,9,3,0.2497056273247713,eng,10,40050,1.2184324264526367,0,
JADE,9,4,0.2497056273247713,eng,10,40050,1.109689474105835,0,
JADE,9,5,0.2497056273247713,eng,10,40050,1.211693286895752,0,
JADE,9,6,0.2497056273247713,eng,10,40050,1.3591420650482178,0,
JADE,9,7,0.2497056273247713,eng,10,40050,1.397390365600586,0,
JADE,9,8,0.2497056273247713,eng,10,40050,1.1852073669433594,0,
JADE,9,9,0.2497056273247713,eng,10,40050,1.2907114028930664,0,
JADE,9,10,0.2497056273247713,eng,10,40050,1.2606964111328125,0,
JADE,9,11,0.2497056273247713,eng,10,40050,1.3930718898773191,0,
JADE,9,12,0.2497056273247713,eng,10,40050,1.2396142482757568,0,
JADE,9,13,0.2497056273247713,eng,10,40050,1.1894102096557615,0,
JADE,9,14,0.2497056273247713,eng,10,40050,1.317495346069336,0,
JADE,9,15,0.2497056273247713,eng,10,40050,1.3638651371002195,0,
JADE,9,16,0.2497056273247713,eng,10,40050,1.1667957305908203,0,
JADE,9,17,0.2497056273247713,eng,10,40050,1.2313079833984375,0,
JADE,9,18,0.2497056273247713,eng,10,40050,1.204686164855957,0,
JADE,9,19,0.2497056273247713,eng,10,40050,1.1450495719909668,0,
JADE,9,20,0.2497056273247713,eng,10,40050,1.284093141555786,0,
JADE,9,21,0.2497056273247713,eng,10,40050,1.1513330936431885,0,
JADE,9,22,0.2497056273247713,eng,10,40050,1.3409724235534668,0,
JADE,9,23,0.2497056273247713,eng,10,40050,1.400012493133545,0,
JADE,9,24,0.2497056273247713,eng,10,40050,1.2308297157287598,0,
JADE,9,25,0.2497056273247713,eng,10,40050,1.2132327556610107,0,
JADE,9,26,0.2497056273247713,eng,10,40050,1.1521012783050537,0,
JADE,9,27,0.2497056273247713,eng,10,40050,1.3433833122253418,0,
JADE,9,28,0.2497056273247713,eng,10,40050,1.3818178176879885,0,
JADE,9,29,0.2497056273247713,eng,10,40050,1.2703020572662354,0,
LBFGSB,9,0,5.468500853408651,eng,10,605,0.020904541015625,0,
LBFGSB,9,1,2.7959616942413805,eng,10,726,0.024193525314331,0,
LBFGSB,9,2,11.39919363346904,eng,10,770,0.0270919799804687,0,
LBFGSB,9,3,9.962093467581289,eng,10,1133,0.0381453037261962,0,
LBFGSB,9,4,0.8154281317911547,eng,10,1540,0.04996919631958,0,
LBFGSB,9,5,1.4012248068890265,eng,10,803,0.0343265533447265,0,
LBFGSB,9,6,0.6358280272286396,eng,10,814,0.0268416404724121,0,
LBFGSB,9,7,24.70194635167186,eng,10,297,0.0104210376739501,0,
LBFGSB,9,8,0.7176988221342244,eng,10,682,0.0221617221832275,0,
LBFGSB,9,9,26.58376036497224,eng,10,693,0.0252504348754882,0,
LBFGSB,9,10,0.6711905579125805,eng,10,1540,0.0577096939086914,0,
LBFGSB,9,11,2.1801246938682235,eng,10,770,0.0445847511291503,0,
LBFGSB,9,12,8.199952949158712,eng,10,627,0.0338022708892822,0,
LBFGSB,9,13,8.383465805191966,eng,10,1100,0.0347437858581543,0,
LBFGSB,9,14,10.136558610507574,eng,10,792,0.0407626628875732,0,
LBFGSB,9,15,11.60374439445602,eng,10,671,0.0237312316894531,0,
LBFGSB,9,16,19.685581887395863,eng,10,836,0.0312676429748535,0,
LBFGSB,9,17,18.650754039540267,eng,10,374,0.0131576061248779,0,
LBFGSB,9,18,0.8482433497554807,eng,10,1056,0.0367038249969482,0,
LBFGSB,9,19,20.376890288686354,eng,10,352,0.0135533809661865,0,
LBFGSB,9,20,14.259757021757208,eng,10,803,0.0290601253509521,0,
LBFGSB,9,21,0.9659852543303916,eng,10,792,0.025810956954956,0,
LBFGSB,9,22,1.4465424382698344,eng,10,814,0.0316784381866455,0,
LBFGSB,9,23,14.570843940988397,eng,10,693,0.0385987758636474,0,
LBFGSB,9,24,0.9668734075968148,eng,10,627,0.0224924087524414,0,
LBFGSB,9,25,11.70550268246489,eng,10,1309,0.048450231552124,0,
LBFGSB,9,26,12.767317678119417,eng,10,704,0.023259162902832,0,
LBFGSB,9,27,18.362154832366222,eng,10,605,0.0195746421813964,0,
LBFGSB,9,28,2.84141165369039,eng,10,1727,0.0609240531921386,0,
LBFGSB,9,29,9.094677799288828,eng,10,759,0.0264480113983154,0,
LSHADE,9,0,0.2497056273251153,eng,10,40050,1.437800407409668,0,
LSHADE,9,1,0.249705627328744,eng,10,40050,1.1665019989013672,0,
LSHADE,9,2,0.2497056273255222,eng,10,40050,1.1342923641204834,0,
LSHADE,9,3,0.249705627325776,eng,10,40050,1.1506547927856443,0,
LSHADE,9,4,0.2497056273260187,eng,10,40050,1.1389758586883545,0,
LSHADE,9,5,0.2497056273343664,eng,10,40050,1.3619732856750488,0,
LSHADE,9,6,0.2497056273248246,eng,10,40050,1.3576595783233645,0,
LSHADE,9,7,0.2497056273250193,eng,10,40050,1.3841893672943115,0,
LSHADE,9,8,0.2497056273304019,eng,10,40050,1.3046016693115234,0,
LSHADE,9,9,0.2497056273264386,eng,10,40050,1.3625013828277588,0,
LSHADE,9,10,0.249705627324878,eng,10,40050,1.1895043849945068,0,
LSHADE,9,11,0.2497056273252193,eng,10,40050,1.382300853729248,0,
