alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,12,0,146292361.53839567,eng,10,1441,0.1633310317993164,0,
CMAES,12,1,146292361.53839567,eng,10,1631,0.1899161338806152,0,
CMAES,12,2,146292361.53839567,eng,10,1451,0.2445151805877685,0,
CMAES,12,3,146292361.53839567,eng,10,1351,0.1821434497833252,0,
CMAES,12,4,146292361.53839567,eng,10,1431,0.1719236373901367,0,
CMAES,12,5,146292361.53839567,eng,10,1491,0.1955382823944091,0,
CMAES,12,6,146292361.53839567,eng,10,1641,0.1944506168365478,0,
CMAES,12,7,146292361.53839567,eng,10,1521,0.2024893760681152,0,
CMAES,12,8,146292361.53839567,eng,10,1521,0.1768593788146972,0,
CMAES,12,9,146292361.53839567,eng,10,1491,0.1916377544403076,0,
CMAES,12,10,146292361.53839567,eng,10,1391,0.1709702014923095,0,
CMAES,12,11,146292361.53839567,eng,10,1421,0.1824574470520019,0,
CMAES,12,12,146292361.53839567,eng,10,1531,0.2017185688018798,0,
CMAES,12,13,146292361.53839567,eng,10,1431,0.1716270446777343,0,
CMAES,12,14,146292361.53839567,eng,10,1511,0.1984434127807617,0,
CMAES,12,15,146292361.53839567,eng,10,1611,0.2277364730834961,0,
CMAES,12,16,146292361.53839567,eng,10,1271,0.1686632633209228,0,
CMAES,12,17,146292361.53839567,eng,10,1461,0.1942751407623291,0,
CMAES,12,18,146292361.53839567,eng,10,1541,0.1959755420684814,0,
CMAES,12,19,146292361.53839567,eng,10,1351,0.2879848480224609,0,
CMAES,12,20,146292361.53839567,eng,10,1371,0.1891844272613525,0,
CMAES,12,21,146292361.53839567,eng,10,1591,0.2187724113464355,0,
CMAES,12,22,146292361.53839567,eng,10,1581,0.2535805702209472,0,
CMAES,12,23,146292361.53839567,eng,10,1501,0.2820460796356201,0,
CMAES,12,24,146292361.53839567,eng,10,1551,0.2347166538238525,0,
CMAES,12,25,146292361.53839567,eng,10,1551,0.1974830627441406,0,
CMAES,12,26,146292361.53839567,eng,10,1481,0.3099067211151123,0,
CMAES,12,27,146292361.53839567,eng,10,1431,0.2092041969299316,0,
CMAES,12,28,146292361.53839567,eng,10,1361,0.1693434715270996,0,
CMAES,12,29,146292361.53839567,eng,10,1441,0.1951527595520019,0,
GWO,12,0,146292361.53839567,eng,10,40050,3.608278274536133,0,
GWO,12,1,146292361.53839567,eng,10,40050,4.12997031211853,0,
GWO,12,2,146292361.53839567,eng,10,40050,3.913759708404541,0,
GWO,12,3,146292361.53839567,eng,10,40050,4.182571172714233,0,
GWO,12,4,146292361.53839567,eng,10,40050,3.6192586421966553,0,
GWO,12,5,146292361.53839567,eng,10,40050,3.677221775054932,0,
GWO,12,6,146292361.53839567,eng,10,40050,3.719200134277344,0,
GWO,12,7,146292361.53839567,eng,10,40050,3.787477731704712,0,
GWO,12,8,146292361.53839567,eng,10,40050,3.6896402835845943,0,
GWO,12,9,146292361.53839567,eng,10,40050,3.6301987171173096,0,
GWO,12,10,146292361.53839567,eng,10,40050,3.9580276012420654,0,
GWO,12,11,146292361.53839567,eng,10,40050,3.641023397445679,0,
GWO,12,12,146292361.53839567,eng,10,40050,3.7122609615325928,0,
GWO,12,13,146292361.53839567,eng,10,40050,3.921292543411255,0,
GWO,12,14,146292361.53839567,eng,10,40050,3.663696050643921,0,
GWO,12,15,146292361.53839567,eng,10,40050,3.536454439163208,0,
GWO,12,16,146292361.53839567,eng,10,40050,3.951639175415039,0,
GWO,12,17,146292361.53839567,eng,10,40050,7.711302042007446,0,
GWO,12,18,146292361.53839567,eng,10,40050,4.385260343551636,0,
GWO,12,19,146292361.53839567,eng,10,40050,4.661420106887817,0,
GWO,12,20,146292361.53839567,eng,10,40050,3.7664835453033447,0,
GWO,12,21,146292361.53839567,eng,10,40050,4.337471008300781,0,
GWO,12,22,146292361.53839567,eng,10,40050,4.212888956069946,0,
GWO,12,23,146292361.53839567,eng,10,40050,5.355515480041504,0,
GWO,12,24,146292361.53839567,eng,10,40050,4.738123416900635,0,
GWO,12,25,146292361.53839567,eng,10,40050,4.395981073379517,0,
GWO,12,26,146292361.53839567,eng,10,40050,5.887153148651123,0,
GWO,12,27,146292361.53839567,eng,10,40050,4.535564661026001,0,
GWO,12,28,146292361.53839567,eng,10,40050,3.781826257705689,0,
GWO,12,29,146292361.53839567,eng,10,40050,3.5397117137908936,0,
JADE,12,0,146292361.53839567,eng,10,4500,0.1601331233978271,0,
JADE,12,1,146292361.53839567,eng,10,4770,0.1525936126708984,0,
JADE,12,2,146292361.53839567,eng,10,4800,0.1609621047973632,0,
JADE,12,3,146292361.53839567,eng,10,4680,0.1596221923828125,0,
JADE,12,4,146292361.53839567,eng,10,5010,0.1907019615173339,0,
JADE,12,5,146292361.53839567,eng,10,4470,0.1390743255615234,0,
JADE,12,6,146292361.53839567,eng,10,4770,0.1472983360290527,0,
JADE,12,7,146292361.53839567,eng,10,4680,0.1450343132019043,0,
