alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,13,0,3600000.7450000127,eng,4,1489,0.203970193862915,0,3599998.360000013
CMAES,13,1,3600000.7450000127,eng,4,1193,0.1884264945983886,0,3599998.360000013
CMAES,13,2,3600000.7450000127,eng,4,1729,0.246192455291748,0,3599998.360000013
CMAES,13,3,3600000.7450000127,eng,4,1577,0.2090137004852295,0,3599998.360000013
CMAES,13,4,3600000.7450000127,eng,4,1761,0.2515139579772949,0,3599998.360000013
CMAES,13,5,3600000.7450000127,eng,4,1841,0.237943410873413,0,3599998.360000013
CMAES,13,6,3600000.7450000127,eng,4,1041,0.1469981670379638,0,3599998.360000013
CMAES,13,7,3600000.7450000127,eng,4,1377,0.1863927841186523,0,3599998.360000013
CMAES,13,8,3600000.7450000127,eng,4,1473,0.2307765483856201,0,3599998.360000013
CMAES,13,9,3600000.7450000127,eng,4,1409,0.1810595989227295,0,3599998.360000013
CMAES,13,10,3600000.7450000127,eng,4,1433,0.2100470066070556,0,3599998.360000013
CMAES,13,11,3600000.7450000127,eng,4,1785,0.2376074790954589,0,3599998.360000013
CMAES,13,12,3600000.7450000127,eng,4,1481,0.2021605968475341,0,3599998.360000013
CMAES,13,13,3600000.7450000127,eng,4,1561,0.2049918174743652,0,3599998.360000013
CMAES,13,14,3600000.7450000127,eng,4,1057,0.1721081733703613,0,3599998.360000013
CMAES,13,15,3600000.7450000127,eng,4,1417,0.2121572494506836,0,3599998.360000013
CMAES,13,16,3600000.7450000127,eng,4,1649,0.2357559204101562,0,3599998.360000013
CMAES,13,17,3600000.7450000127,eng,4,1305,0.1838018894195556,0,3599998.360000013
CMAES,13,18,3600000.7450000127,eng,4,1449,0.2230727672576904,0,3599998.360000013
CMAES,13,19,3600000.7450000127,eng,4,1409,0.1844575405120849,0,3599998.360000013
CMAES,13,20,3600000.7450000127,eng,4,1361,0.2218048572540283,0,3599998.360000013
CMAES,13,21,3600000.7450000127,eng,4,1681,0.2328863143920898,0,3599998.360000013
CMAES,13,22,3600000.7450000127,eng,4,1593,0.2081141471862793,0,3599998.360000013
CMAES,13,23,3600000.7450000127,eng,4,1361,0.1772065162658691,0,3599998.360000013
CMAES,13,24,3600000.7450000127,eng,4,1537,0.2323923110961914,0,3599998.360000013
CMAES,13,25,3600000.7450000127,eng,4,1649,0.2247772216796875,0,3599998.360000013
CMAES,13,26,3600000.7450000127,eng,4,1681,0.2502641677856445,0,3599998.360000013
CMAES,13,27,3600000.7450000127,eng,4,1529,0.2206196784973144,0,3599998.360000013
CMAES,13,28,3600000.7450000127,eng,4,1329,0.1872932910919189,0,3599998.360000013
CMAES,13,29,3600000.7450000127,eng,4,1337,0.1917154788970947,0,3599998.360000013
GWO,13,0,3600000.7450000127,eng,4,16020,1.7138850688934326,0,3599998.360000013
GWO,13,1,3600000.7450000127,eng,4,16020,1.6909894943237305,0,3599998.360000013
GWO,13,2,3600000.7450000127,eng,4,16020,1.528505563735962,0,3599998.360000013
GWO,13,3,3600000.7450000127,eng,4,16020,1.5329742431640625,0,3599998.360000013
GWO,13,4,3600000.7450000127,eng,4,16020,1.5779750347137451,0,3599998.360000013
GWO,13,5,3600000.7450000127,eng,4,16020,1.5434083938598633,0,3599998.360000013
GWO,13,6,3600000.7450000127,eng,4,16020,1.4951083660125732,0,3599998.360000013
GWO,13,7,3600000.7450000127,eng,4,16020,1.5460798740386963,0,3599998.360000013
GWO,13,8,3600000.7450000127,eng,4,16020,1.6690785884857178,0,3599998.360000013
GWO,13,9,3600000.7450000127,eng,4,16020,1.4996085166931152,0,3599998.360000013
GWO,13,10,3600000.7450000127,eng,4,16020,1.5101664066314695,0,3599998.360000013
GWO,13,11,3600000.7450000127,eng,4,16020,1.5741477012634275,0,3599998.360000013
GWO,13,12,3600000.7450000127,eng,4,16020,1.4971251487731934,0,3599998.360000013
GWO,13,13,3600000.7450000127,eng,4,16020,1.5794181823730469,0,3599998.360000013
GWO,13,14,3600000.7450000127,eng,4,16020,1.5867176055908203,0,3599998.360000013
GWO,13,15,3600000.7450000127,eng,4,16020,1.5663080215454102,0,3599998.360000013
GWO,13,16,3600000.7450000127,eng,4,16020,1.561412334442139,0,3599998.360000013
