alg,fid,run,fbest,suite,dim,nfe,time_sec,hit,err
CMAES,14,0,278.96001072128024,eng,3,547,0.0793690681457519,0,
CMAES,14,1,278.96001072128024,eng,3,491,0.065185546875,0,
CMAES,14,2,278.96001072128024,eng,3,456,0.0633583068847656,0,
CMAES,14,3,278.96001072128024,eng,3,533,0.0698094367980957,0,
CMAES,14,4,278.96001072128024,eng,3,470,0.0633492469787597,0,
CMAES,14,5,278.96001072128024,eng,3,456,0.0614264011383056,0,
CMAES,14,6,278.96001072128024,eng,3,435,0.0572912693023681,0,
CMAES,14,7,278.96001072128024,eng,3,442,0.0677428245544433,0,
CMAES,14,8,278.96001072128024,eng,3,533,0.0716559886932373,0,
CMAES,14,9,278.96001072128024,eng,3,477,0.0627768039703369,0,
CMAES,14,10,278.96001072128024,eng,3,400,0.0552582740783691,0,
CMAES,14,11,278.96001072128024,eng,3,498,0.0911874771118164,0,
CMAES,14,12,278.96001072128024,eng,3,449,0.0627562999725341,0,
CMAES,14,13,278.96001072128024,eng,3,435,0.0730915069580078,0,
CMAES,14,14,278.96001072128024,eng,3,554,0.0773553848266601,0,
CMAES,14,15,278.96001072128024,eng,3,428,0.0675997734069824,0,
CMAES,14,16,278.96001072128024,eng,3,498,0.0680155754089355,0,
CMAES,14,17,278.96001072128024,eng,3,442,0.0789465904235839,0,
CMAES,14,18,278.96001072128024,eng,3,491,0.0729467868804931,0,
CMAES,14,19,278.96001072128024,eng,3,484,0.0683784484863281,0,
CMAES,14,20,278.96001072128024,eng,3,519,0.0677700042724609,0,
CMAES,14,21,278.96001072128024,eng,3,470,0.0752606391906738,0,
CMAES,14,22,278.96001072128024,eng,3,484,0.0767512321472168,0,
CMAES,14,23,278.96001072128024,eng,3,624,0.1127181053161621,0,
CMAES,14,24,278.96001072128024,eng,3,477,0.0731525421142578,0,
CMAES,14,25,278.96001072128024,eng,3,498,0.0673890113830566,0,
CMAES,14,26,278.96001072128024,eng,3,470,0.0651092529296875,0,
CMAES,14,27,278.96001072128024,eng,3,554,0.0902903079986572,0,
CMAES,14,28,278.96001072128024,eng,3,442,0.0674898624420166,0,
CMAES,14,29,278.96001072128024,eng,3,442,0.0595784187316894,0,
GWO,14,0,278.96001072128024,eng,3,12020,1.2395546436309814,0,
GWO,14,1,278.96001072128024,eng,3,12020,1.1658320426940918,0,
GWO,14,2,278.96001072128024,eng,3,12020,1.2565906047821045,0,
GWO,14,3,278.96001072128024,eng,3,12020,1.249056339263916,0,
GWO,14,4,278.96001072128024,eng,3,12020,1.1909947395324707,0,
GWO,14,5,278.96001072128024,eng,3,12020,1.214026927947998,0,
GWO,14,6,278.96001072128024,eng,3,12020,1.2080128192901611,0,
GWO,14,7,278.96001072128024,eng,3,12020,1.213432788848877,0,
GWO,14,8,278.96001072128024,eng,3,12020,1.2391023635864258,0,
GWO,14,9,278.96001072128024,eng,3,12020,1.204293727874756,0,
GWO,14,10,278.96001072128024,eng,3,12020,1.3024499416351318,0,
GWO,14,11,278.96001072128024,eng,3,12020,1.2557992935180664,0,
GWO,14,12,278.96001072128024,eng,3,12020,1.3626666069030762,0,
GWO,14,13,278.96001072128024,eng,3,12020,1.3550450801849363,0,
GWO,14,14,278.96001072128024,eng,3,12020,1.439685583114624,0,
GWO,14,15,278.96001072128024,eng,3,12020,1.544239521026611,0,
GWO,14,16,278.96001072128024,eng,3,12020,1.2991085052490234,0,
GWO,14,17,278.96001072128024,eng,3,12020,1.3231966495513916,0,
GWO,14,18,278.96001072128024,eng,3,12020,1.3781516551971436,0,
GWO,14,19,278.96001072128024,eng,3,12020,1.3341901302337646,0,
GWO,14,20,278.96001072128024,eng,3,12020,1.2983627319335938,0,
GWO,14,21,278.96001072128024,eng,3,12020,1.376020908355713,0,
GWO,14,22,278.96001072128024,eng,3,12020,1.2885444164276123,0,
GWO,14,23,278.96001072128024,eng,3,12020,1.5130383968353271,0,
GWO,14,24,278.96001072128024,eng,3,12020,1.191493034362793,0,
GWO,14,25,278.96001072128024,eng,3,12020,1.3128905296325684,0,
GWO,14,26,278.96001072128024,eng,3,12020,1.2920570373535156,0,
GWO,14,27,278.96001072128024,eng,3,12020,1.471168041229248,0,
GWO,14,28,278.96001072128024,eng,3,12020,1.188056230545044,0,
GWO,14,29,278.96001072128024,eng,3,12020,1.209425687789917,0,
JADE,14,0,278.96001072128024,eng,3,2280,0.0721745491027832,0,
JADE,14,1,278.96001072128024,eng,3,2160,0.0623822212219238,0,
JADE,14,2,278.96001072128024,eng,3,2250,0.0662481784820556,0,
JADE,14,3,278.96001072128024,eng,3,2190,0.0655310153961181,0,
JADE,14,4,278.96001072128024,eng,3,2280,0.0672893524169921,0,
JADE,14,5,278.96001072128024,eng,3,2340,0.0677020549774169,0,
JADE,14,6,278.96001072128024,eng,3,2130,0.07012939453125,0,
JADE,14,7,278.96001072128024,eng,3,2250,0.0682559013366699,0,
JADE,14,8,278.96001072128024,eng,3,2190,0.0645771026611328,0,
JADE,14,9,278.96001072128024,eng,3,2460,0.0743141174316406,0,
JADE,14,10,278.96001072128024,eng,3,2160,0.0719192028045654,0,
JADE,14,11,278.96001072128024,eng,3,2100,0.0968868732452392,0,
JADE,14,12,278.96001072128024,eng,3,2370,0.0713975429534912,0,
JADE,14,13,278.96001072128024,eng,3,2130,0.065540075302124,0,
JADE,14,14,278.96001072128024,eng,3,2130,0.0686125755310058,0,
JADE,14,15,278.96001072128024,eng,3,2430,0.0839769840240478,0,
JADE,14,16,278.96001072128024,eng,3,2220,0.0754742622375488,0,
JADE,14,17,278.96001072128024,eng,3,2190,0.0859572887420654,0,
JADE,14,18,278.96001072128024,eng,3,2220,0.0677566528320312,0,
JADE,14,19,278.96001072128024,eng,3,2160,0.0657739639282226,0,
JADE,14,20,278.96001072128024,eng,3,2310,0.0802733898162841,0,
JADE,14,21,278.96001072128024,eng,3,2310,0.0840983390808105,0,
JADE,14,22,278.96001072128024,eng,3,2310,0.0709202289581298,0,
JADE,14,23,278.96001072128024,eng,3,2160,0.0681443214416503,0,
JADE,14,24,278.96001072128024,eng,3,2190,0.1314210891723632,0,
JADE,14,25,278.96001072128024,eng,3,2430,0.0760114192962646,0,
JADE,14,26,278.96001072128024,eng,3,2130,0.069373607635498,0,
JADE,14,27,278.96001072128024,eng,3,2220,0.0757844448089599,0,
JADE,14,28,278.96001072128024,eng,3,2310,0.0686225891113281,0,
JADE,14,29,278.96001072128024,eng,3,2280,0.0667662620544433,0,
LBFGSB,14,0,278.96001072128024,eng,3,32,0.002112865447998,0,
LBFGSB,14,1,278.96001072128024,eng,3,44,0.0026476383209228,0,
LBFGSB,14,2,278.96001072128024,eng,3,52,0.0034301280975341,0,
LBFGSB,14,3,278.96001072128024,eng,3,56,0.0031208992004394,0,
LBFGSB,14,4,278.96001072128024,eng,3,48,0.0030086040496826,0,
LBFGSB,14,5,278.96001072128024,eng,3,44,0.0027477741241455,0,
LBFGSB,14,6,278.96001072128024,eng,3,44,0.0039420127868652,0,
LBFGSB,14,7,278.96001072128024,eng,3,48,0.0027897357940673,0,
LBFGSB,14,8,278.96001072128024,eng,3,48,0.0044794082641601,0,
LBFGSB,14,9,278.96001072128024,eng,3,44,0.0038652420043945,0,
LBFGSB,14,10,278.96001072128024,eng,3,44,0.0026581287384033,0,
LBFGSB,14,11,278.96001072128024,eng,3,52,0.003676414489746,0,
LBFGSB,14,12,278.96001072128024,eng,3,48,0.0028705596923828,0,
LBFGSB,14,13,278.96001072128024,eng,3,48,0.0047836303710937,0,
LBFGSB,14,14,278.96001072128024,eng,3,44,0.0026173591613769,0,
LBFGSB,14,15,278.96001072128024,eng,3,44,0.0028390884399414,0,
LBFGSB,14,16,278.96001072128024,eng,3,40,0.0025866031646728,0,
LBFGSB,14,17,278.96001072128024,eng,3,44,0.0025570392608642,0,
LBFGSB,14,18,278.96001072128024,eng,3,48,0.0029623508453369,0,
LBFGSB,14,19,278.96001072128024,eng,3,48,0.002873420715332,0,
LBFGSB,14,20,278.96001072128024,eng,3,44,0.0025687217712402,0,
LBFGSB,14,21,278.96001072128024,eng,3,48,0.0028190612792968,0,
LBFGSB,14,22,278.96001072128024,eng,3,40,0.0039477348327636,0,
LBFGSB,14,23,278.96001072128024,eng,3,40,0.0025877952575683,0,
LBFGSB,14,24,278.96001072128024,eng,3,48,0.0031495094299316,0,
LBFGSB,14,25,278.96001072128024,eng,3,40,0.0024554729461669,0,
LBFGSB,14,26,278.96001072128024,eng,3,36,0.0025432109832763,0,
LBFGSB,14,27,278.96001072128024,eng,3,36,0.0024335384368896,0,
